community	chr	genes_in_tads	span_tads	pg_gene	order	size	gene_dif
456	X	2	1	ENSG00000169895	2	1	0
457	2	2	1	ENSG00000170166	2	1	0
458	14	2	1	ENSG00000170270	2	1	0
459	2	2	1	ENSG00000170417	2	1	0
460	12	2	1	ENSG00000170421	2	1	0
461	12	2	2	ENSG00000170473	2	1	0
462	2	2	1	ENSG00000170500	2	1	0
463	5	2	1	ENSG00000170571	2	1	0
464	3	2	1	ENSG00000170837	2	1	0
465	3	38	16	ENSG00000132155	38	46	0
466	4	2	2	ENSG00000170917	2	1	0
467	19	2	1	ENSG00000179922	2	1	0
469	10	2	1	ENSG00000171988	2	1	0
471	17	2	1	ENSG00000172123	2	1	0
472	2	2	2	ENSG00000172428	2	1	0
473	10	4	2	ENSG00000172661	4	4	0
474	9	2	1	ENSG00000183784	2	1	0
475	12	5	1	ENSG00000197757	5	8	0
476	12	2	1	ENSG00000173391	2	1	0
477	17	2	1	ENSG00000173757	2	1	0
478	11	2	2	ENSG00000173898	2	1	0
479	4	2	1	ENSG00000174130	2	1	0
480	17	2	1	ENSG00000174327	2	1	0
482	2	2	3	ENSG00000174501	2	1	0
483	4	2	1	ENSG00000174749	2	1	0
484	1	2	1	ENSG00000189195	2	1	0
485	11	2	1	ENSG00000174885	2	1	0
486	3	2	1	ENSG00000174928	2	1	0
487	16	2	1	ENSG00000174939	2	1	0
488	8	3	1	ENSG00000156170	3	2	0
489	12	2	2	ENSG00000175782	2	1	0
490	10	2	1	ENSG00000176273	2	1	0
492	19	2	2	ENSG00000176533	2	1	0
493	17	2	1	ENSG00000176563	2	1	0
494	8	34	16	ENSG00000180900	71	441	37
495	16	2	1	ENSG00000176692	2	1	0
497	19	2	1	ENSG00000177202	2	1	0
499	X	2	1	ENSG00000184831	2	1	0
500	5	2	1	ENSG00000177879	2	1	0
502	5	2	1	ENSG00000178187	2	1	0
503	X	10	6	ENSG00000130021	10	9	0
504	X	2	1	ENSG00000178605	2	1	0
505	19	6	1	ENSG00000198466	6	10	0
506	16	2	2	ENSG00000185164	2	1	0
507	11	2	1	ENSG00000179057	2	1	0
511	11	2	1	ENSG00000179431	2	1	0
513	12	2	1	ENSG00000179715	2	1	0
515	X	6	3	ENSG00000180182	6	5	0
516	12	2	1	ENSG00000180263	2	1	0
517	3	3	1	ENSG00000144648	3	2	0
518	21	2	1	ENSG00000180530	2	1	0
519	17	2	1	ENSG00000180616	2	1	0
520	17	2	1	ENSG00000180638	2	1	0
521	1	3	1	ENSG00000123836	3	2	0
522	12	2	2	ENSG00000180818	2	1	0
523	12	2	1	ENSG00000180881	2	1	0
524	10	2	1	ENSG00000181274	2	1	0
525	3	4	2	ENSG00000181788	4	3	0
526	15	142	51	ENSG00000138614	148	369	6
527	10	2	2	ENSG00000182010	2	1	0
528	1	2	1	ENSG00000182134	2	1	0
529	19	1	1	ENSG00000196705	2	1	1
530	20	2	2	ENSG00000182621	2	1	0
531	11	2	1	ENSG00000182704	2	1	0
532	19	11	2	ENSG00000197937	17	30	6
533	14	2	2	ENSG00000183032	2	1	0
534	1	66	19	ENSG00000031698	70	158	4
535	4	2	1	ENSG00000183423	2	1	0
536	7	2	1	ENSG00000183742	2	1	0
537	16	2	2	ENSG00000183793	2	1	0
538	1	2	1	ENSG00000184007	2	1	0
540	1	2	1	ENSG00000184313	2	1	0
541	12	4	3	ENSG00000183735	4	3	0
542	2	2	1	ENSG00000184898	2	1	0
543	5	2	1	ENSG00000185129	2	1	0
545	5	2	1	ENSG00000185261	2	1	0
548	8	2	1	ENSG00000185697	2	1	0
549	X	5	3	ENSG00000071553	5	4	0
550	11	2	1	ENSG00000185885	2	1	0
551	1	2	1	ENSG00000265241	2	1	0
552	9	2	1	ENSG00000186193	2	1	0
553	8	2	1	ENSG00000186523	2	1	0
554	19	2	1	ENSG00000186567	2	1	0
556	7	2	1	ENSG00000187037	2	1	0
557	2	2	1	ENSG00000187123	2	1	0
559	13	2	1	ENSG00000187498	2	1	0
560	14	2	1	ENSG00000187630	2	1	0
561	1	2	1	ENSG00000187642	2	1	0
562	19	2	1	ENSG00000187650	2	1	0
563	15	2	1	ENSG00000188095	2	1	0
565	19	2	1	ENSG00000188368	2	1	0
566	9	2	1	ENSG00000188747	2	1	0
567	19	2	1	ENSG00000188766	2	1	0
568	9	2	2	ENSG00000188938	2	1	0
569	4	2	1	ENSG00000188993	2	1	0
570	6	2	2	ENSG00000188996	2	1	0
571	10	2	1	ENSG00000189180	2	1	0
572	1	2	1	ENSG00000189334	2	1	0
573	2	2	1	ENSG00000189362	2	1	0
574	16	2	1	ENSG00000196123	2	1	0
577	7	5	2	ENSG00000196247	5	5	0
578	7	2	2	ENSG00000196275	2	1	0
579	3	2	1	ENSG00000196345	2	1	0
580	1	3	3	ENSG00000171943	3	2	0
581	11	2	1	ENSG00000196371	2	1	0
582	15	2	1	ENSG00000196391	2	1	0
583	15	2	1	ENSG00000196547	2	1	0
584	3	2	1	ENSG00000196776	2	1	0
585	1	2	1	ENSG00000196890	2	1	0
586	19	2	1	ENSG00000197016	2	1	0
587	19	2	1	ENSG00000197019	2	1	0
588	19	13	3	ENSG00000198342	13	24	0
589	20	2	1	ENSG00000197122	2	1	0
590	19	2	1	ENSG00000197372	2	1	0
591	5	2	2	ENSG00000197375	2	1	0
592	2	2	1	ENSG00000197557	2	1	0
593	7	2	1	ENSG00000197558	2	1	0
594	19	8	2	ENSG00000197619	8	13	0
595	9	2	2	ENSG00000197969	2	1	0
596	12	5	5	ENSG00000139343	5	4	0
597	1	2	2	ENSG00000198019	2	1	0
598	19	2	1	ENSG00000198046	2	1	0
599	2	2	1	ENSG00000198142	2	1	0
600	X	2	1	ENSG00000198157	2	1	0
601	19	2	1	ENSG00000198440	2	1	0
602	4	2	1	ENSG00000198498	2	1	0
603	4	2	1	ENSG00000198515	2	1	0
605	6	2	1	ENSG00000198721	2	1	0
606	9	2	1	ENSG00000198722	2	1	0
607	X	2	1	ENSG00000198908	2	1	0
609	3	2	1	ENSG00000198919	2	1	0
610	6	2	1	ENSG00000203722	2	1	0
611	10	2	1	ENSG00000203772	2	1	0
612	1	2	2	ENSG00000203965	2	1	0
613	X	2	1	ENSG00000204271	2	1	0
614	2	2	1	ENSG00000204335	2	1	0
615	6	2	1	ENSG00000204389	2	1	0
616	11	2	1	ENSG00000204397	2	1	0
617	19	2	1	ENSG00000204611	2	1	0
618	10	2	1	ENSG00000204682	2	1	0
619	10	2	1	ENSG00000204740	2	1	0
620	2	2	1	ENSG00000204822	2	1	0
621	5	10	1	ENSG00000253731	10	15	0
622	5	4	1	ENSG00000204969	4	5	0
623	11	2	1	ENSG00000205213	2	1	0
624	7	2	1	ENSG00000205413	2	1	0
625	19	2	1	ENSG00000205517	2	1	0
626	16	2	1	ENSG00000205629	2	1	0
627	16	2	1	ENSG00000205730	2	1	0
628	16	2	1	ENSG00000205832	2	1	0
629	14	2	1	ENSG00000205978	2	1	0
630	5	2	1	ENSG00000206077	2	1	0
632	3	2	1	ENSG00000206549	2	1	0
633	3	2	2	ENSG00000206560	2	1	0
634	12	2	1	ENSG00000211584	2	1	0
635	19	2	1	ENSG00000212123	2	1	0
636	1	2	1	ENSG00000213047	2	1	0
637	1	2	1	ENSG00000213085	2	1	0
638	10	2	1	ENSG00000213185	2	1	0
639	16	2	1	ENSG00000213398	2	1	0
640	7	2	1	ENSG00000213462	2	1	0
641	14	2	1	ENSG00000213906	2	1	0
642	19	2	1	ENSG00000213965	2	1	0
643	6	2	2	ENSG00000214113	2	1	0
644	17	2	1	ENSG00000214226	2	1	0
645	10	2	1	ENSG00000214279	2	1	0
646	12	2	1	ENSG00000215009	2	1	0
647	6	2	1	ENSG00000215712	2	1	0
648	1	3	1	ENSG00000215788	3	2	0
649	5	2	1	ENSG00000217128	2	1	0
650	19	2	1	ENSG00000220201	2	1	0
651	6	2	2	ENSG00000224531	2	1	0
652	10	2	1	ENSG00000227268	2	1	0
653	10	114	55	ENSG00000055950	120	251	6
654	17	2	1	ENSG00000228696	2	1	0
655	19	2	1	ENSG00000229676	2	1	0
656	9	2	1	ENSG00000233198	2	1	0
657	5	2	1	ENSG00000234284	2	1	0
658	17	2	2	ENSG00000236383	2	1	0
659	19	2	1	ENSG00000237440	2	1	0
661	22	2	1	ENSG00000239282	2	1	0
662	7	2	1	ENSG00000239521	2	1	0
664	8	2	1	ENSG00000240694	2	1	0
665	7	2	1	ENSG00000242265	2	1	0
666	1	2	1	ENSG00000243364	2	1	0
667	21	2	1	ENSG00000243927	2	1	0
668	2	2	1	ENSG00000243943	2	1	0
669	1	36	22	ENSG00000117751	38	40	2
670	19	2	1	ENSG00000244165	2	1	0
671	19	2	1	ENSG00000244482	2	1	0
672	12	3	1	ENSG00000246705	5	4	2
673	19	2	2	ENSG00000248098	2	1	0
674	4	2	1	ENSG00000249242	2	1	0
675	12	2	1	ENSG00000250091	2	1	0
676	5	2	2	ENSG00000250722	2	1	0
677	1	2	1	ENSG00000253313	2	1	0
679	6	2	1	ENSG00000255152	2	1	0
680	19	2	1	ENSG00000256229	2	1	0
681	19	7	2	ENSG00000198521	9	8	2
682	1	2	1	ENSG00000257315	2	1	0
683	12	2	1	ENSG00000257594	2	1	0
684	15	2	2	ENSG00000258484	2	1	0
686	6	2	1	ENSG00000259040	2	1	0
688	21	2	1	ENSG00000265590	2	1	0
689	17	2	1	ENSG00000266074	2	1	0
690	1	2	1	ENSG00000268043	2	1	0
691	19	2	1	ENSG00000270011	2	1	0
692	1	2	2	ENSG00000271425	2	1	0
693	7	1	1	ENSG00000272391	2	1	1
695	15	2	1	ENSG00000273173	2	1	0
696	14	2	1	ENSG00000273259	2	1	0
697	3	2	2	ENSG00000273291	2	1	0
698	2	4	4	ENSG00000183513	4	3	0
699	21	1	2	ENSG00000275895	2	1	1
700	8	2	2	ENSG00000276418	2	1	0
701	10	2	2	ENSG00000277758	2	1	0
702	13	2	1	ENSG00000281106	2	1	0
