from	to
ENSG00000163930	ENSG00000090674
ENSG00000163930	ENSG00000090686
ENSG00000163930	ENSG00000090924
ENSG00000163930	ENSG00000091039
ENSG00000163930	ENSG00000091164
ENSG00000163930	ENSG00000091732
ENSG00000163930	ENSG00000092036
ENSG00000163930	ENSG00000092148
ENSG00000163930	ENSG00000092201
ENSG00000163930	ENSG00000092203
ENSG00000163930	ENSG00000092421
ENSG00000163930	ENSG00000092531
ENSG00000163930	ENSG00000092847
ENSG00000163930	ENSG00000092931
ENSG00000163930	ENSG00000093167
ENSG00000163930	ENSG00000093183
ENSG00000163930	ENSG00000094914
ENSG00000163930	ENSG00000095059
ENSG00000163930	ENSG00000095066
ENSG00000163930	ENSG00000095203
ENSG00000163930	ENSG00000095261
ENSG00000163930	ENSG00000095485
ENSG00000163930	ENSG00000095564
ENSG00000163930	ENSG00000095794
ENSG00000163930	ENSG00000096093
ENSG00000163930	ENSG00000096401
ENSG00000163930	ENSG00000096717
ENSG00000163930	ENSG00000096746
ENSG00000163930	ENSG00000096872
ENSG00000163930	ENSG00000099246
ENSG00000163930	ENSG00000099326
ENSG00000163930	ENSG00000099330
ENSG00000163930	ENSG00000099622
ENSG00000163930	ENSG00000099795
ENSG00000163930	ENSG00000099817
ENSG00000163930	ENSG00000099840
ENSG00000163930	ENSG00000099866
ENSG00000163930	ENSG00000099875
ENSG00000163930	ENSG00000099899
ENSG00000163930	ENSG00000099901
ENSG00000163930	ENSG00000099917
ENSG00000163930	ENSG00000099954
ENSG00000163930	ENSG00000099995
ENSG00000163930	ENSG00000100028
ENSG00000163930	ENSG00000100038
ENSG00000163930	ENSG00000100056
ENSG00000163930	ENSG00000100083
ENSG00000163930	ENSG00000100084
ENSG00000163930	ENSG00000100099
ENSG00000163930	ENSG00000100101
ENSG00000163930	ENSG00000100104
ENSG00000163930	ENSG00000100105
ENSG00000163930	ENSG00000100109
ENSG00000163930	ENSG00000100151
ENSG00000163930	ENSG00000100211
ENSG00000163930	ENSG00000100216
ENSG00000163930	ENSG00000100227
ENSG00000163930	ENSG00000100280
ENSG00000163930	ENSG00000100294
ENSG00000163930	ENSG00000100296
ENSG00000163930	ENSG00000100316
ENSG00000163930	ENSG00000100335
ENSG00000163930	ENSG00000100353
ENSG00000163930	ENSG00000100376
ENSG00000163930	ENSG00000100380
ENSG00000163930	ENSG00000100393
ENSG00000163930	ENSG00000100401
ENSG00000163930	ENSG00000100412
ENSG00000163930	ENSG00000100416
ENSG00000163930	ENSG00000100441
ENSG00000163930	ENSG00000100445
ENSG00000163930	ENSG00000100462
ENSG00000163930	ENSG00000100483
ENSG00000163930	ENSG00000100532
ENSG00000163930	ENSG00000100575
ENSG00000163930	ENSG00000100629
ENSG00000163930	ENSG00000100650
ENSG00000163930	ENSG00000100664
ENSG00000163930	ENSG00000100697
ENSG00000163930	ENSG00000100722
ENSG00000163930	ENSG00000100796
ENSG00000163930	ENSG00000100815
ENSG00000163930	ENSG00000100883
ENSG00000163930	ENSG00000100888
ENSG00000163930	ENSG00000100902
ENSG00000163930	ENSG00000100938
ENSG00000163930	ENSG00000100941
ENSG00000163930	ENSG00000100949
ENSG00000163930	ENSG00000100991
ENSG00000163930	ENSG00000101003
ENSG00000163930	ENSG00000101019
ENSG00000163930	ENSG00000101040
ENSG00000163930	ENSG00000101084
ENSG00000163930	ENSG00000101109
ENSG00000163930	ENSG00000101132
ENSG00000163930	ENSG00000101138
ENSG00000163930	ENSG00000101161
ENSG00000163930	ENSG00000101166
ENSG00000163930	ENSG00000101181
ENSG00000163930	ENSG00000101191
ENSG00000163930	ENSG00000101216
ENSG00000163930	ENSG00000101246
ENSG00000163930	ENSG00000101294
ENSG00000163930	ENSG00000101337
ENSG00000163930	ENSG00000101346
ENSG00000163930	ENSG00000101365
ENSG00000163930	ENSG00000101391
ENSG00000163930	ENSG00000101407
ENSG00000163930	ENSG00000101413
ENSG00000163930	ENSG00000101421
ENSG00000163930	ENSG00000101444
ENSG00000163930	ENSG00000101452
ENSG00000163930	ENSG00000101457
ENSG00000163930	ENSG00000101464
ENSG00000163930	ENSG00000101557
ENSG00000163930	ENSG00000101574
ENSG00000163930	ENSG00000101665
ENSG00000163930	ENSG00000101773
ENSG00000163930	ENSG00000101882
ENSG00000163930	ENSG00000101972
ENSG00000163930	ENSG00000102003
ENSG00000163930	ENSG00000102081
ENSG00000163930	ENSG00000102119
ENSG00000163930	ENSG00000102543
ENSG00000163930	ENSG00000102572
ENSG00000163930	ENSG00000102606
ENSG00000163930	ENSG00000102710
ENSG00000163930	ENSG00000102738
ENSG00000163930	ENSG00000102753
ENSG00000163930	ENSG00000102763
ENSG00000163930	ENSG00000102786
ENSG00000163930	ENSG00000102858
ENSG00000163930	ENSG00000102893
ENSG00000163930	ENSG00000102898
ENSG00000163930	ENSG00000102900
ENSG00000163930	ENSG00000102901
ENSG00000163930	ENSG00000102904
ENSG00000163930	ENSG00000102908
ENSG00000163930	ENSG00000102910
ENSG00000163930	ENSG00000102978
ENSG00000163930	ENSG00000102984
ENSG00000163930	ENSG00000103035
ENSG00000163930	ENSG00000103056
ENSG00000163930	ENSG00000103121
ENSG00000163930	ENSG00000103126
ENSG00000163930	ENSG00000103145
ENSG00000163930	ENSG00000103148
ENSG00000163930	ENSG00000103197
ENSG00000163930	ENSG00000103199
ENSG00000163930	ENSG00000103245
ENSG00000163930	ENSG00000103248
ENSG00000163930	ENSG00000103257
ENSG00000163930	ENSG00000103274
ENSG00000163930	ENSG00000103275
ENSG00000163930	ENSG00000103342
ENSG00000163930	ENSG00000103351
ENSG00000163930	ENSG00000103353
ENSG00000163930	ENSG00000103356
ENSG00000163930	ENSG00000103365
ENSG00000163930	ENSG00000103494
ENSG00000163930	ENSG00000103502
ENSG00000163930	ENSG00000103510
ENSG00000163930	ENSG00000103540
ENSG00000163930	ENSG00000103550
ENSG00000163930	ENSG00000103591
ENSG00000163930	ENSG00000103599
ENSG00000163930	ENSG00000103642
ENSG00000163930	ENSG00000103657
ENSG00000163930	ENSG00000103671
ENSG00000163930	ENSG00000103811
ENSG00000163930	ENSG00000103852
ENSG00000163930	ENSG00000103994
ENSG00000163930	ENSG00000104047
ENSG00000163930	ENSG00000104081
ENSG00000163930	ENSG00000104133
ENSG00000163930	ENSG00000104164
ENSG00000163930	ENSG00000104218
ENSG00000163930	ENSG00000104221
ENSG00000163930	ENSG00000104299
ENSG00000163930	ENSG00000104312
ENSG00000163930	ENSG00000104320
ENSG00000163930	ENSG00000104408
ENSG00000163930	ENSG00000104419
ENSG00000163930	ENSG00000104517
ENSG00000163930	ENSG00000104529
ENSG00000163930	ENSG00000104613
ENSG00000163930	ENSG00000104626
ENSG00000163930	ENSG00000104643
ENSG00000163930	ENSG00000104671
ENSG00000163930	ENSG00000104679
ENSG00000163930	ENSG00000104714
ENSG00000163930	ENSG00000104731
ENSG00000163930	ENSG00000104738
ENSG00000163930	ENSG00000104765
ENSG00000163930	ENSG00000104859
ENSG00000163930	ENSG00000104866
ENSG00000163930	ENSG00000104872
ENSG00000163930	ENSG00000104886
ENSG00000163930	ENSG00000104915
ENSG00000163930	ENSG00000104946
ENSG00000163930	ENSG00000104957
ENSG00000163930	ENSG00000104960
ENSG00000163930	ENSG00000104969
ENSG00000163930	ENSG00000104976
ENSG00000163930	ENSG00000104979
ENSG00000163930	ENSG00000105063
ENSG00000163930	ENSG00000105072
ENSG00000163930	ENSG00000105136
ENSG00000163930	ENSG00000105193
ENSG00000163930	ENSG00000105197
ENSG00000163930	ENSG00000105221
ENSG00000163930	ENSG00000105248
ENSG00000163930	ENSG00000105289
