ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	tf	cond
IRF4	IRF4	40/44	4157/6328	1.0983298912485441e-4	0.0017379455337991668	0.0013669616603155254	ENSG00000066279/ENSG00000072571/ENSG00000075218/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000035499	40	ENSG00000111206	healthy
SIPA1	SIPA1	4/44	38/6328	1.26369387856052e-4	0.0018885202962932216	0.001485394559009734	ENSG00000072571/ENSG00000088325/ENSG00000112984/ENSG00000158402	4	ENSG00000111206	healthy
EMSY	EMSY	24/44	1815/6328	2.705980037930874e-4	0.003831098053702132	0.0030133074106598657	ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000135451/ENSG00000142945/ENSG00000143228/ENSG00000145386/ENSG00000146670/ENSG00000156970/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000035499	24	ENSG00000111206	healthy
CHD2	CHD2	39/44	4118/6328	3.684249549359174e-4	0.004955315643888089	0.0038975482074799683	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000035499	39	ENSG00000111206	healthy
TCF3	TCF3	37/44	3799/6328	5.1515075713478e-4	0.00645324400463724	0.005075727039452496	ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000089685/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000146670/ENSG00000148773/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	37	ENSG00000111206	healthy
ZNF574	ZNF574	27/44	2280/6328	5.277746026097371e-4	0.00645324400463724	0.005075727039452496	ENSG00000072571/ENSG00000080986/ENSG00000089685/ENSG00000093009/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000175063/ENSG00000183856/ENSG00000186185	27	ENSG00000111206	healthy
XRN2	XRN2	14/44	787/6328	5.942283749142536e-4	0.006949888384866706	0.005466357133078489	ENSG00000080986/ENSG00000112984/ENSG00000113368/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000148773/ENSG00000166803/ENSG00000168078/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000186185	14	ENSG00000111206	healthy
KMT2B	KMT2B	44/44	5373/6328	7.281463001123245e-4	0.007740815157589572	0.006088451757681488	ENSG00000066279/ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	44	ENSG00000111206	healthy
GATA3	GATA3	39/44	4215/6328	7.46423878994189e-4	0.007740815157589572	0.006088451757681488	ENSG00000066279/ENSG00000080986/ENSG00000089685/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	39	ENSG00000111206	healthy
KDM6A	KDM6A	40/44	4410/6328	7.481828776852374e-4	0.007740815157589572	0.006088451757681488	ENSG00000066279/ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000126787/ENSG00000127564/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000145386/ENSG00000146670/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	40	ENSG00000111206	healthy
