community_id	newman	bynode	totalfrac	diffraction
597	NA	1	1	1
238	NA	1	1	1
686	NA	1	1	1
574	NA	1	1	1
474	NA	1	1	1
586	NA	1	1	1
584	NA	1	1	1
553	NA	1	1	1
594	NA	1	1	1
190	NA	1	1	1
341	NA	1	1	1
133	NA	1	1	1
279	NA	1	1	1
264	NA	1	1	1
445	NA	1	1	1
696	NA	1	1	1
437	NA	1	1	1
665	NA	1	1	1
473	NA	1	1	1
544	NA	1	1	1
653	NA	1	1	1
562	NA	1	1	1
697	NA	1	1	1
316	NA	1	1	1
526	NA	1	1	1
698	NA	1	1	1
392	NA	1	1	1
529	NA	1	1	1
540	NA	1	1	1
401	NA	1	1	1
666	NA	1	1	1
467	NA	1	1	1
325	NA	1	1	1
410	NA	1	1	1
376	NA	1	1	1
361	NA	1	1	1
434	NA	1	1	1
493	NA	1	1	1
589	NA	1	1	1
293	NA	1	1	1
655	NA	1	1	1
496	NA	1	1	1
245	-1	0	0	-1
393	NA	1	1	1
225	NA	1	1	1
408	NA	1	1	1
87	NA	1	1	1
322	NA	1	1	1
657	NA	1	1	1
421	NA	1	1	1
367	NA	1	1	1
203	-0.3333333333333333	0.5	0.5	0
329	NA	1	1	1
639	NA	1	1	1
400	NA	1	1	1
312	NA	1	1	1
286	NA	1	1	1
517	NA	1	1	1
498	NA	1	1	1
638	NA	1	1	1
554	NA	1	1	1
563	NA	1	1	1
661	NA	1	1	1
690	NA	1	1	1
224	-0.6	0	0	-1
631	NA	1	1	1
388	NA	1	1	1
295	NA	1	1	1
482	NA	1	1	1
