com_id	pg_gene	chr	order	size
788	ENSG00000136261	7	2	1
787	ENSG00000136813	9	2	1
525	ENSG00000136874	9	2	1
763	ENSG00000136875	9	2	1
786	ENSG00000136891	9	2	1
560	ENSG00000137210	6	2	1
524	ENSG00000137414	6	2	1
523	ENSG00000137563	8	2	1
880	ENSG00000137692	11	2	1
785	ENSG00000137821	15	2	1
784	ENSG00000138029	2	2	1
522	ENSG00000138381	2	2	1
783	ENSG00000138449	2	2	1
782	ENSG00000138768	4	2	1
521	ENSG00000138785	4	2	1
781	ENSG00000139131	12	2	1
520	ENSG00000139163	12	2	1
780	ENSG00000139168	12	2	1
519	ENSG00000139193	12	2	1
518	ENSG00000139194	12	2	1
779	ENSG00000139351	12	2	1
517	ENSG00000139428	12	2	1
516	ENSG00000139651	12	2	1
515	ENSG00000140280	15	2	1
527	ENSG00000140749	11	2	1
863	ENSG00000140943	16	2	1
869	ENSG00000140992	16	2	1
514	ENSG00000141337	17	2	1
778	ENSG00000141424	18	2	1
777	ENSG00000141642	18	2	1
513	ENSG00000141756	17	2	1
776	ENSG00000142512	19	2	1
775	ENSG00000142687	1	2	1
883	ENSG00000142731	4	2	1
774	ENSG00000143061	1	2	1
773	ENSG00000143164	1	2	1
512	ENSG00000143801	1	2	1
772	ENSG00000144040	2	2	1
511	ENSG00000144224	2	2	1
771	ENSG00000144591	2	2	1
770	ENSG00000144674	3	2	1
688	ENSG00000145029	3	2	1
769	ENSG00000145040	3	2	1
768	ENSG00000145216	4	2	1
510	ENSG00000145428	4	2	1
509	ENSG00000145431	4	2	1
767	ENSG00000145916	5	2	1
766	ENSG00000146433	6	2	1
508	ENSG00000146950	X	2	1
765	ENSG00000147133	X	2	1
764	ENSG00000147231	X	2	1
873	ENSG00000148481	10	2	1
864	ENSG00000148719	10	2	1
507	ENSG00000149091	11	2	1
762	ENSG00000149633	20	2	1
761	ENSG00000150593	10	2	1
760	ENSG00000151151	10	2	1
759	ENSG00000151376	11	2	1
506	ENSG00000151748	14	2	1
526	ENSG00000152082	2	2	1
758	ENSG00000152382	1	2	1
757	ENSG00000153107	2	2	1
756	ENSG00000153234	2	2	1
505	ENSG00000153237	2	2	1
755	ENSG00000153291	6	2	1
754	ENSG00000154040	18	2	1
504	ENSG00000154065	18	2	1
503	ENSG00000154262	17	2	1
753	ENSG00000154447	4	2	1
752	ENSG00000154640	21	2	1
502	ENSG00000155269	4	2	1
751	ENSG00000155957	12	2	1
853	ENSG00000156232	15	2	1
728	ENSG00000156831	8	2	1
749	ENSG00000157227	14	2	1
727	ENSG00000157303	9	2	1
860	ENSG00000157450	15	2	1
748	ENSG00000157870	1	2	1
501	ENSG00000158019	2	2	1
500	ENSG00000158234	3	2	1
499	ENSG00000159239	2	2	1
747	ENSG00000159403	12	2	1
498	ENSG00000160055	1	2	1
497	ENSG00000160284	21	2	1
496	ENSG00000160318	19	2	1
745	ENSG00000161010	5	2	1
888	ENSG00000161016	8	2	1
743	ENSG00000161791	10	2	1
871	ENSG00000161980	16	2	1
569	ENSG00000162004	16	2	1
866	ENSG00000162062	16	2	1
495	ENSG00000162086	16	2	1
494	ENSG00000162654	1	2	1
742	ENSG00000162757	1	2	1
493	ENSG00000162814	1	2	1
741	ENSG00000162817	1	2	1
492	ENSG00000162882	2	2	1
740	ENSG00000162889	1	2	1
739	ENSG00000162894	1	2	1
738	ENSG00000162931	1	2	1
737	ENSG00000163040	2	2	1
491	ENSG00000163220	1	2	1
490	ENSG00000163430	3	2	1
736	ENSG00000163491	3	2	1
489	ENSG00000163539	3	2	1
735	ENSG00000163625	4	2	1
734	ENSG00000163683	4	2	1
488	ENSG00000163728	3	2	1
733	ENSG00000163734	4	2	1
487	ENSG00000163931	3	2	1
486	ENSG00000164023	4	2	1
485	ENSG00000164116	4	2	1
484	ENSG00000164118	4	2	1
732	ENSG00000164125	4	2	1
731	ENSG00000164162	4	2	1
730	ENSG00000164172	5	2	1
729	ENSG00000164344	4	2	1
615	ENSG00000164414	6	2	1
625	ENSG00000164754	8	2	1
483	ENSG00000164823	8	2	1
482	ENSG00000165695	9	2	1
726	ENSG00000165714	12	2	1
725	ENSG00000165929	14	2	1
724	ENSG00000166148	11	2	1
481	ENSG00000166228	10	2	1
723	ENSG00000166928	11	2	1
722	ENSG00000167107	17	2	1
721	ENSG00000167207	16	2	1
887	ENSG00000167705	17	2	1
720	ENSG00000167759	19	2	1
877	ENSG00000167799	11	2	1
672	ENSG00000167900	17	2	1
861	ENSG00000167930	16	2	1
719	ENSG00000168003	11	2	1
878	ENSG00000168005	11	2	1
718	ENSG00000168066	11	2	1
885	ENSG00000168077	8	2	1
480	ENSG00000168079	6	2	1
717	ENSG00000168255	7	2	1
479	ENSG00000168398	14	2	1
716	ENSG00000168404	16	2	1
715	ENSG00000168447	16	2	1
708	ENSG00000168488	16	2	1
478	ENSG00000168564	4	2	1
714	ENSG00000168758	2	2	1
713	ENSG00000168792	17	2	1
712	ENSG00000168904	15	2	1
477	ENSG00000168938	5	2	1
700	ENSG00000168958	2	2	1
711	ENSG00000169019	4	2	1
710	ENSG00000169035	19	2	1
573	ENSG00000169057	X	2	1
476	ENSG00000169255	3	2	1
475	ENSG00000169291	1	2	1
709	ENSG00000169299	4	2	1
474	ENSG00000169439	8	2	1
473	ENSG00000169764	2	2	1
472	ENSG00000169891	X	2	1
471	ENSG00000169895	X	2	1
470	ENSG00000170166	2	2	1
707	ENSG00000170270	14	2	1
889	ENSG00000170312	10	2	1
469	ENSG00000170417	2	2	1
468	ENSG00000170421	12	2	1
467	ENSG00000170473	12	2	1
706	ENSG00000170500	2	2	1
466	ENSG00000170571	5	2	1
705	ENSG00000170837	3	2	1
704	ENSG00000170917	4	2	1
703	ENSG00000171135	3	2	1
867	ENSG00000171298	17	2	1
702	ENSG00000171824	1	2	1
464	ENSG00000171988	10	2	1
701	ENSG00000172123	17	2	1
463	ENSG00000172428	2	2	1
462	ENSG00000173391	12	2	1
699	ENSG00000173757	17	2	1
698	ENSG00000173898	11	2	1
697	ENSG00000174130	4	2	1
696	ENSG00000174173	3	2	1
461	ENSG00000174327	17	2	1
695	ENSG00000174501	2	2	1
694	ENSG00000174749	4	2	1
460	ENSG00000174885	11	2	1
459	ENSG00000174928	3	2	1
458	ENSG00000174939	16	2	1
886	ENSG00000175106	17	2	1
457	ENSG00000175782	12	2	1
456	ENSG00000176273	10	2	1
693	ENSG00000176396	19	2	1
455	ENSG00000176402	7	2	1
454	ENSG00000176533	19	2	1
453	ENSG00000176563	17	2	1
452	ENSG00000176692	16	2	1
692	ENSG00000177202	19	2	1
691	ENSG00000177879	5	2	1
543	ENSG00000177885	17	2	1
690	ENSG00000177989	22	2	1
882	ENSG00000178074	2	2	1
689	ENSG00000178187	5	2	1
687	ENSG00000178605	X	2	1
686	ENSG00000179057	11	2	1
685	ENSG00000179085	1	2	1
684	ENSG00000179387	4	2	1
683	ENSG00000179388	12	2	1
682	ENSG00000179431	11	2	1
450	ENSG00000179715	12	2	1
449	ENSG00000179772	1	2	1
465	ENSG00000179922	19	2	1
681	ENSG00000180113	1	2	1
448	ENSG00000180263	12	2	1
447	ENSG00000180530	21	2	1
446	ENSG00000180616	17	2	1
680	ENSG00000180638	17	2	1
679	ENSG00000180818	12	2	1
678	ENSG00000180881	12	2	1
677	ENSG00000181026	15	2	1
676	ENSG00000181274	10	2	1
675	ENSG00000181852	12	2	1
674	ENSG00000182010	10	2	1
673	ENSG00000182134	1	2	1
648	ENSG00000182141	19	2	1
444	ENSG00000182621	20	2	1
443	ENSG00000182704	11	2	1
442	ENSG00000183032	14	2	1
441	ENSG00000183423	4	2	1
858	ENSG00000183475	15	2	1
440	ENSG00000183742	7	2	1
671	ENSG00000183784	9	2	1
439	ENSG00000183793	16	2	1
670	ENSG00000184007	1	2	1
669	ENSG00000184277	15	2	1
438	ENSG00000184313	1	2	1
668	ENSG00000184831	X	2	1
437	ENSG00000184898	2	2	1
667	ENSG00000185129	5	2	1
451	ENSG00000185164	16	2	1
