ensembl_id	id	type
ENSG00000231105	2	del
ENSG00000236936	2	del
ENSG00000117298	2	del
ENSG00000236216	2	del
ENSG00000228823	2	del
ENSG00000237276	2	del
ENSG00000132881	2	del
ENSG00000233929	2	del
ENSG00000037637	2	del
ENSG00000236009	2	del
ENSG00000227001	2	del
ENSG00000187952	2	del
ENSG00000186543	2	del
ENSG00000055070	2	del
ENSG00000226457	2	del
ENSG00000187144	2	del
ENSG00000142794	2	del
ENSG00000157191	2	del
ENSG00000176378	2	del
ENSG00000226029	2	del
ENSG00000080947	2	del
ENSG00000285853	2	del
ENSG00000261135	2	del
ENSG00000224174	2	del
ENSG00000233421	2	del
ENSG00000225710	2	del
ENSG00000219481	2	del
ENSG00000271732	2	del
ENSG00000215908	2	del
ENSG00000282143	2	del
ENSG00000186301	2	del
ENSG00000283773	2	del
ENSG00000268869	2	del
ENSG00000280114	2	del
ENSG00000236698	2	del
ENSG00000279151	2	del
ENSG00000282740	2	del
ENSG00000230239	2	del
ENSG00000272426	2	del
ENSG00000227684	2	del
ENSG00000235241	2	del
ENSG00000223643	2	del
ENSG00000228549	2	del
ENSG00000186715	2	del
ENSG00000058453	2	del
ENSG00000238142	2	del
ENSG00000162551	2	del
ENSG00000233431	2	del
ENSG00000159363	2	del
ENSG00000226526	2	del
ENSG00000117122	2	del
ENSG00000076864	2	del
ENSG00000117118	2	del
ENSG00000117115	2	del
ENSG00000282843	2	del
ENSG00000204362	2	del
ENSG00000142623	2	del
ENSG00000142619	2	del
ENSG00000159339	2	del
ENSG00000276747	2	del
ENSG00000227751	2	del
ENSG00000179051	2	del
ENSG00000090686	2	del
ENSG00000231978	2	del
ENSG00000074964	2	del
ENSG00000142798	2	del
ENSG00000232037	2	del
ENSG00000187942	2	del
ENSG00000223949	17	del
ENSG00000185483	17	del
ENSG00000177452	17	del
ENSG00000228056	17	del
ENSG00000236648	2	del
ENSG00000117148	2	del
ENSG00000284653	2	del
ENSG00000261781	2	del
ENSG00000280222	2	del
ENSG00000230035	2	del
ENSG00000117154	2	del
ENSG00000225387	2	del
ENSG00000179023	2	del
ENSG00000235282	2	del
ENSG00000225478	2	del
ENSG00000009709	2	del
ENSG00000284928	17	del
ENSG00000159423	2	del
ENSG00000284240	17	del
ENSG00000143013	17	del
ENSG00000227290	17	del
ENSG00000177414	17	del
ENSG00000255275	2	del
ENSG00000169991	2	del
ENSG00000179002	2	del
ENSG00000230053	17	del
ENSG00000279778	17	del
ENSG00000237959	17	del
ENSG00000237505	17	del
ENSG00000270507	17	del
ENSG00000241975	17	del
ENSG00000065243	17	del
ENSG00000158966	17	del
ENSG00000162437	17	del
ENSG00000162434	17	del
ENSG00000234784	17	del
ENSG00000233877	17	del
ENSG00000283234	2	del
ENSG00000285752	2	del
ENSG00000228397	2	del
ENSG00000285721	2	del
ENSG00000142789	2	del
ENSG00000070831	2	del
ENSG00000218510	2	del
ENSG00000285794	2	del
ENSG00000285959	2	del
ENSG00000230068	2	del
ENSG00000271428	2	del
ENSG00000219073	2	del
ENSG00000011009	2	del
ENSG00000185031	17	del
ENSG00000226891	17	del
ENSG00000272506	17	del
ENSG00000156150	17	del
ENSG00000231485	17	del
ENSG00000235804	17	del
ENSG00000234496	17	del
ENSG00000162433	17	del
ENSG00000258634	17	del
ENSG00000143093	17	del
ENSG00000231622	17	del
ENSG00000116675	17	del
ENSG00000234144	17	del
ENSG00000229294	17	del
ENSG00000258673	17	del
ENSG00000213625	17	del
ENSG00000116678	17	del
ENSG00000162552	2	del
ENSG00000285873	2	del
ENSG00000234397	2	del
ENSG00000279625	2	del
ENSG00000237852	17	del
ENSG00000224570	17	del
ENSG00000184677	2	del
ENSG00000237200	2	del
ENSG00000137947	17	del
ENSG00000235308	17	del
ENSG00000137944	17	del
ENSG00000213516	17	del
ENSG00000070886	2	del
ENSG00000173372	2	del
ENSG00000159189	2	del
ENSG00000173369	2	del
ENSG00000272084	2	del
ENSG00000127481	2	del
ENSG00000117226	17	del
ENSG00000285079	17	del
ENSG00000117308	2	del
ENSG00000225952	2	del
ENSG00000133216	2	del
ENSG00000117228	17	del
ENSG00000184588	17	del
ENSG00000234518	17	del
ENSG00000213512	17	del
ENSG00000162645	17	del
ENSG00000215906	2	del
ENSG00000284637	17	del
ENSG00000162654	17	del
ENSG00000284734	17	del
ENSG00000227466	17	del
ENSG00000227868	2	del
ENSG00000237568	17	del
ENSG00000154451	17	del
ENSG00000238081	17	del
ENSG00000233235	17	del
ENSG00000183347	17	del
ENSG00000215874	17	del
ENSG00000240553	2	del
ENSG00000229010	2	del
ENSG00000169641	2	del
ENSG00000004487	2	del
ENSG00000225492	17	del
ENSG00000272931	17	del
