ensemblID	community
ENSG00000100526	9
ENSG00000100528	28
ENSG00000100532	28
ENSG00000100567	28
ENSG00000100575	28
ENSG00000100577	15
ENSG00000100580	887
ENSG00000100583	887
ENSG00000100591	15
ENSG00000100601	15
ENSG00000100603	15
ENSG00000100614	28
ENSG00000100625	28
ENSG00000100632	15
ENSG00000100714	15
ENSG00000100722	15
ENSG00000100731	15
ENSG00000100764	15
ENSG00000100796	15
ENSG00000100804	36
ENSG00000100811	63
ENSG00000100813	36
ENSG00000100815	15
ENSG00000100823	36
ENSG00000100865	63
ENSG00000100883	139
ENSG00000100888	36
ENSG00000100897	36
ENSG00000100902	139
ENSG00000100911	36
ENSG00000100938	36
ENSG00000100949	36
ENSG00000100982	397
ENSG00000100997	186
ENSG00000101126	867
ENSG00000101138	26
ENSG00000101146	26
ENSG00000101150	26
ENSG00000101152	26
ENSG00000101158	26
ENSG00000101161	26
ENSG00000101166	26
ENSG00000101181	26
ENSG00000101182	26
ENSG00000101189	26
ENSG00000101191	26
ENSG00000101193	26
ENSG00000101199	26
ENSG00000101216	26
ENSG00000101236	18
ENSG00000101246	26
ENSG00000101247	18
ENSG00000101266	18
ENSG00000101310	18
ENSG00000101337	101
ENSG00000101343	18
ENSG00000101361	18
ENSG00000101365	18
ENSG00000101367	357
ENSG00000101391	101
ENSG00000101421	101
ENSG00000101447	9
ENSG00000101473	189
ENSG00000101474	186
ENSG00000101544	4
ENSG00000101546	4
ENSG00000101557	4
ENSG00000101558	4
ENSG00000101574	4
ENSG00000101624	4
ENSG00000101639	4
ENSG00000101654	4
ENSG00000101695	4
ENSG00000101745	4
ENSG00000101751	4
ENSG00000101752	4
ENSG00000101782	4
ENSG00000101811	398
ENSG00000101882	385
ENSG00000101997	399
ENSG00000102030	295
ENSG00000102078	382
ENSG00000102081	487
ENSG00000102096	149
ENSG00000102100	328
ENSG00000102181	400
ENSG00000102312	401
ENSG00000102316	862
ENSG00000102401	148
ENSG00000102471	355
ENSG00000102531	23
ENSG00000102543	23
ENSG00000102572	27
ENSG00000102580	27
ENSG00000102595	27
ENSG00000102606	27
ENSG00000102710	23
ENSG00000102738	23
ENSG00000102743	23
ENSG00000102753	23
ENSG00000102755	316
ENSG00000102763	23
ENSG00000102780	23
ENSG00000102786	23
ENSG00000102796	23
ENSG00000102805	355
ENSG00000102870	38
ENSG00000102882	650
ENSG00000102893	87
ENSG00000102898	7
ENSG00000102900	66
ENSG00000102901	7
ENSG00000102910	87
ENSG00000102921	87
ENSG00000102977	7
