community_id	diameter
304	2961703
305	218721
306	139032
307	31919
308	104348
309	644407
310	48214
311	23834
312	5473266
313	55775
315	10907151
316	12943
318	20020
319	146613
320	26967
321	444704
322	94970
323	30112
324	98747
325	25804
326	23188
327	68766
328	33334
329	233566
331	374335
332	330020
333	29538488
334	140335
335	268803
336	62704
337	202916
339	128894
340	140880
341	96722
342	130937
343	5831661
344	120737
345	177629
346	66951
347	104324
348	98552
349	101379
350	2776156
351	205304
353	286840
355	72823
357	42928
360	39274
361	48687
362	108347
363	82167
364	52375
365	33626
367	1862741
369	225447
370	204439
371	64288
372	102976
373	198584
374	1182758
376	1204918
377	126876
378	84957
379	12610
380	254406
381	171016
382	236063
383	142690
384	40796
385	494669
386	4537316
387	169649
388	78375
389	312542
390	656303
391	75997
392	178132
393	313997
394	177333
395	36490
396	22143
397	304060
398	55714
399	789513
400	328441
401	144365
402	450330
403	81080
404	430753
405	120544
407	195889
408	457902
409	37777
410	207923
411	244357
412	4678921
413	65406
414	33500
415	112775
416	158080
417	66140
418	23187411
420	7848
422	1413280
423	124650
424	17742
425	430771
426	48705
427	941458
428	276914
429	104580
430	438850
431	9343
432	52888
433	210199
434	30909
435	15331
437	14044
438	85881
439	132728
440	6828
441	55015
442	82426
443	119419
444	33108
447	296484
449	613717
450	160955
452	284748
454	226041
455	103676
456	694821
457	530684
458	70843
459	62503
460	51514
461	114949
463	15442
464	895078
465	98217
466	487266
467	28517
468	265110
469	991012
470	244546
471	873930
472	44321
473	7772882
474	281099
475	252435
476	458245
477	217739
478	381574
479	168009
481	2141654
483	243672
484	42117
485	21615
486	3728530
488	51220
489	586470
491	121039
492	68171
493	7641
494	22490
495	254247
496	40561
498	216605
499	436041
500	64904
501	364246
502	52822
503	15596
504	11019
505	30093
506	25317
507	13788
508	17303
509	127510
510	15322
511	134666
512	44780
513	207978
514	139643
515	154743
516	10100
517	126367
518	19359
521	623507
522	353673
523	44501
524	85279633
525	77581
526	149998
527	1074466
528	53992
529	44837
530	175433
531	179476
532	92512
533	27168709
534	3491
535	49963
536	23113
537	116412
538	382229
539	101171
540	69968
541	69797
542	290949
543	398456
544	854105
545	28705173
546	90896
547	76008
548	184846
549	60189
550	410466
551	126031
553	56391
554	301226
556	41364
558	144977
559	39746
560	30478
561	31692
562	788558
563	303248
564	83620
565	14791
566	75988
567	30897
568	58552
570	33710
571	1241085
572	11450
573	182410
574	217492
575	141948
576	48856
577	42137
578	258846
579	154402
580	90039
581	53615
582	107090
584	100459
585	258430
586	79216
587	8278
588	402619
589	53368
590	47492
591	29851
592	34967
593	79946
594	12302
595	116789
596	726599
597	18499
598	77654
599	107292
600	175613
601	388760
602	95285
603	373142
604	11206
605	489491
606	112769
607	87013
608	276651
609	59646
610	9283
611	59785
612	93562
613	125771
614	39332
615	41929
616	94669
617	317044
618	53843
619	153492
620	145491
621	23807
622	69810
623	85829
624	9083
625	32163
626	26513
627	38631
628	156461
629	315687
630	174018
631	92371
632	130591
633	15623
635	37274
636	122496
637	59345
638	106306
639	244522
640	17115
641	346193
642	337567
644	16328
645	37440
646	155062
647	1213578
648	91330
649	58845
650	2615052
651	2606906
652	30239
653	155086
654	32588
655	250765
657	36622964
658	312372
659	1185375
660	198778
