ensemblID	community
ENSG00000106772	241
ENSG00000106809	13
ENSG00000106823	15
ENSG00000106829	241
ENSG00000106952	153
ENSG00000106976	13
ENSG00000107021	14
ENSG00000107099	13
ENSG00000107130	241
ENSG00000107140	77
ENSG00000107185	195
ENSG00000107262	45
ENSG00000107341	70
ENSG00000107372	153
ENSG00000107537	223
ENSG00000107566	77
ENSG00000107581	10
ENSG00000107672	13
ENSG00000107719	70
ENSG00000107736	77
ENSG00000107758	15
ENSG00000107779	231
ENSG00000107796	241
ENSG00000107798	70
ENSG00000107862	13
ENSG00000107897	77
ENSG00000107929	154
ENSG00000107968	195
ENSG00000108061	13
ENSG00000108107	10
ENSG00000108187	23
ENSG00000108344	14
ENSG00000108375	4
ENSG00000108424	101
ENSG00000108443	195
ENSG00000108465	46
ENSG00000108468	155
ENSG00000108506	155
ENSG00000108510	47
ENSG00000108523	48
ENSG00000108528	77
ENSG00000108561	85
ENSG00000108578	13
ENSG00000108622	341
ENSG00000108639	4
ENSG00000108641	77
ENSG00000108651	223
ENSG00000108733	154
ENSG00000108788	77
ENSG00000108819	10
ENSG00000108821	13
ENSG00000108828	15
ENSG00000108829	154
ENSG00000108848	6
ENSG00000108852	13
ENSG00000108924	101
ENSG00000108960	77
ENSG00000109016	15
ENSG00000109062	4
ENSG00000109113	341
ENSG00000109171	15
ENSG00000109180	223
ENSG00000109381	154
ENSG00000109390	85
ENSG00000109436	4
ENSG00000109445	10
ENSG00000109466	4
ENSG00000109519	49
ENSG00000109536	10
ENSG00000109618	13
ENSG00000109625	13
ENSG00000109674	117
ENSG00000109762	223
ENSG00000109787	154
ENSG00000109790	15
ENSG00000109794	70
ENSG00000109805	117
ENSG00000109906	153
ENSG00000109919	15
ENSG00000110002	4
ENSG00000110013	195
ENSG00000110090	50
ENSG00000110104	154
ENSG00000110171	111
ENSG00000110172	223
ENSG00000110237	13
ENSG00000110315	15
ENSG00000110344	155
ENSG00000110395	13
ENSG00000110400	13
ENSG00000110429	155
ENSG00000110435	77
ENSG00000110448	223
ENSG00000110619	15
ENSG00000110711	10
ENSG00000110717	77
ENSG00000110801	111
ENSG00000110811	10
ENSG00000110880	195
ENSG00000110921	13
ENSG00000110955	77
ENSG00000111011	10
ENSG00000111144	34
ENSG00000111186	13
ENSG00000111206	117
ENSG00000111231	13
ENSG00000111261	77
ENSG00000111266	154
ENSG00000111275	77
ENSG00000111276	154
ENSG00000111291	223
ENSG00000111331	2
ENSG00000111335	2
ENSG00000111339	23
ENSG00000111344	52
ENSG00000111348	223
ENSG00000111358	77
ENSG00000111361	154
ENSG00000111412	154
ENSG00000111452	13
ENSG00000111490	223
ENSG00000111605	154
ENSG00000111615	223
ENSG00000111652	15
ENSG00000111667	15
ENSG00000111671	53
ENSG00000111678	10
ENSG00000111684	155
ENSG00000111711	15
