community_id	diameter
678	12943
668	20020
429	146613
69	26967
603	444704
453	94970
592	30112
520	98747
700	25804
481	23188
495	68766
677	33334
179	233566
643	374335
99	330020
265	29538488
488	140335
202	268803
281	62704
654	202916
213	128894
629	140880
317	96722
595	130937
219	5831661
486	120737
521	177629
513	66951
340	104324
547	98552
564	101379
289	2776156
431	205304
624	286840
642	72823
326	42928
687	39274
296	48687
530	108347
199	82167
598	52375
585	33626
278	1862741
171	225447
136	204439
593	64288
284	102976
578	198584
450	1182758
165	1204918
566	126876
89	84957
331	12610
522	254406
98	171016
236	236063
461	142690
508	40796
267	494669
122	4537316
416	169649
472	78375
424	312542
479	656303
327	75997
192	178132
524	313997
382	177333
510	36490
501	22143
335	304060
607	55714
177	789513
83	328441
223	144365
591	450330
601	81080
487	430753
403	120544
239	195889
260	457902
311	37777
691	207923
256	244357
414	4678921
531	65406
503	33500
627	112775
619	158080
491	66140
442	23187411
552	7848
599	1413280
567	124650
662	17742
358	430771
648	48705
240	941458
216	276914
476	104580
405	438850
231	9343
444	52888
415	210199
362	30909
560	15331
693	14044
528	85881
512	132728
504	6828
297	55015
419	82426
644	119419
651	33108
169	296484
449	613717
605	160955
137	284748
680	226041
299	103676
120	694821
576	530684
418	70843
545	62503
82	51514
485	114949
612	15442
109	895078
347	98217
363	487266
451	28517
398	265110
148	991012
350	244546
220	873930
321	44321
106	7772882
205	281099
684	252435
166	458245
611	217739
160	381574
365	168009
150	2141654
61	243672
320	42117
559	21615
441	3728530
93	51220
163	586470
323	121039
660	68171
422	7641
302	22490
428	254247
354	40561
557	216605
462	436041
423	64904
695	364246
676	52822
685	15596
457	11019
628	30093
456	25317
582	13788
397	17303
63	127510
440	15322
413	134666
154	44780
652	207978
588	139643
356	154743
635	10100
300	126367
276	19359
151	623507
630	353673
525	44501
259	85279633
372	77581
210	149998
523	1074466
64	53992
268	44837
499	175433
509	179476
669	92512
613	27168709
699	3491
664	49963
374	23113
117	116412
425	382229
49	101171
577	69968
314	69797
455	290949
647	398456
126	854105
433	28705173
650	90896
670	76008
153	184846
606	60189
389	410466
460	126031
249	56391
306	301226
135	41364
519	144977
396	39746
448	30478
667	31692
185	788558
543	303248
549	83620
625	14791
568	75988
343	30897
139	58552
673	33710
292	1241085
626	11450
243	182410
640	217492
511	141948
426	48856
587	42137
366	258846
497	154402
318	90039
386	53615
636	107090
689	100459
484	258430
285	79216
360	8278
621	402619
263	53368
656	47492
590	29851
597	34967
238	79946
686	12302
574	116789
474	726599
586	18499
584	77654
553	107292
594	175613
190	388760
341	95285
133	373142
279	11206
264	489491
445	112769
696	87013
437	276651
665	59646
473	9283
544	59785
653	93562
562	125771
697	39332
316	41929
526	94669
698	317044
392	53843
529	153492
540	145491
401	23807
666	69810
467	85829
325	9083
410	32163
376	26513
361	38631
434	156461
493	315687
589	174018
293	92371
655	130591
496	15623
393	37274
225	122496
408	59345
87	106306
322	244522
657	17115
421	346193
367	337567
329	16328
639	37440
400	155062
312	1213578
286	91330
517	58845
498	2615052
638	2606906
554	30239
563	155086
661	32588
690	250765
631	36622964
388	312372
295	1185375
482	198778
