ID	commun	community_type
GO:0032814	36	Inter
GO:0045637	36	Inter
GO:0032633	36	Inter
GO:0032733	36	Inter
GO:0097028	36	Inter
GO:0070661	36	Inter
GO:0001818	36	Inter
GO:0006909	36	Inter
GO:2000008	36	Inter
GO:0001774	36	Inter
GO:0002269	36	Inter
GO:0032103	36	Inter
GO:0000768	36	Inter
GO:0043277	36	Inter
GO:0140253	36	Inter
GO:0006949	36	Inter
GO:0032732	36	Inter
GO:0002763	36	Inter
GO:0006911	36	Inter
GO:0043030	36	Inter
GO:0061900	36	Inter
GO:0032720	36	Inter
GO:0150076	36	Inter
GO:1903556	36	Inter
GO:1903532	36	Inter
GO:0045670	36	Inter
GO:1903829	36	Inter
GO:0099024	36	Inter
GO:0030101	36	Inter
GO:0050766	36	Inter
GO:0051047	36	Inter
GO:0032623	36	Inter
GO:0034394	36	Inter
GO:0098542	36	Inter
GO:0001910	36	Inter
GO:0010324	36	Inter
GO:0032945	36	Inter
GO:0050672	36	Inter
GO:0032642	36	Inter
GO:0032651	36	Inter
GO:0070664	36	Inter
GO:0032602	36	Inter
GO:0032755	36	Inter
GO:0002683	36	Inter
GO:0031341	36	Inter
GO:1901224	36	Inter
GO:0045088	36	Inter
GO:0032611	36	Inter
GO:0050764	36	Inter
GO:0045639	36	Inter
GO:1903706	36	Inter
GO:0009617	36	Inter
GO:0002286	36	Inter
GO:0031349	36	Inter
GO:0001909	36	Inter
GO:0002250	57	Inter
GO:0001991	167	Inter
GO:0003081	167	Inter
GO:0016486	167	Inter
GO:0001990	167	Inter
GO:0003044	167	Inter
GO:0022617	167	Inter
GO:0050886	167	Inter
GO:0003073	167	Inter
GO:0042110	183	Inter
GO:0002250	183	Inter
GO:0051249	183	Inter
GO:0050863	183	Inter
GO:0002694	183	Inter
GO:0030217	183	Inter
GO:0050865	183	Inter
GO:0002696	183	Inter
GO:0050867	183	Inter
GO:0030098	183	Inter
GO:0051251	183	Inter
GO:0043368	183	Inter
GO:1903037	183	Inter
GO:0002521	183	Inter
GO:0007159	183	Inter
GO:0050870	183	Inter
GO:0045058	183	Inter
GO:1903039	183	Inter
GO:0045059	183	Inter
GO:0022407	183	Inter
GO:0050900	183	Inter
GO:0022409	183	Inter
GO:0050851	183	Inter
GO:0045061	183	Inter
GO:0019835	183	Inter
GO:0019722	183	Inter
GO:0042102	183	Inter
GO:0072676	183	Inter
GO:0002429	183	Inter
GO:0050852	183	Inter
GO:0032609	183	Inter
GO:0002253	183	Inter
GO:0045785	183	Inter
GO:0002449	183	Inter
GO:0002768	183	Inter
GO:0050671	183	Inter
GO:0032946	183	Inter
GO:0070665	183	Inter
GO:0046631	183	Inter
GO:0042129	183	Inter
GO:0031295	183	Inter
GO:0031294	183	Inter
GO:0070098	183	Inter
GO:0002757	183	Inter
GO:0072678	183	Inter
GO:0042098	183	Inter
GO:0002764	183	Inter
GO:1990868	183	Inter
GO:1990869	183	Inter
GO:0019932	183	Inter
GO:0033632	183	Inter
GO:0033077	183	Inter
GO:0071888	183	Inter
GO:0050670	183	Inter
GO:0032944	183	Inter
GO:0070663	183	Inter
GO:0001771	183	Inter
GO:0033033	183	Inter
GO:0050848	183	Inter
GO:0032649	183	Inter
GO:0033631	183	Inter
GO:0046634	183	Inter
GO:0046651	183	Inter
GO:0032943	183	Inter
GO:0046641	183	Inter
GO:0046632	183	Inter
GO:0002460	183	Inter
GO:0006925	183	Inter
GO:0002456	183	Inter
GO:0048511	14	Inter
GO:0048512	14	Inter
GO:0007622	14	Inter
GO:0007623	14	Inter
GO:0032922	14	Inter
GO:0042752	14	Inter
GO:0042749	14	Inter
GO:0042745	14	Inter
GO:0007610	14	Inter
GO:0050795	14	Inter
GO:0048706	4	Intra
GO:0009952	4	Intra
GO:0048704	4	Intra
GO:0003002	4	Intra
GO:0007389	4	Intra
GO:0001501	4	Intra
GO:0048598	4	Intra
GO:0048705	4	Intra
GO:0048562	4	Intra
GO:0048568	4	Intra
GO:0045638	4	Intra
GO:1903707	4	Intra
GO:0030878	4	Intra
GO:0045637	4	Intra
GO:0030099	4	Intra
GO:0048732	4	Intra
GO:0002683	4	Intra
GO:0030198	316	Inter
GO:0043062	316	Inter
GO:0030199	316	Inter
GO:0070208	316	Inter
GO:0001501	316	Inter
GO:0043588	316	Inter
GO:0071230	316	Inter
GO:0043200	316	Inter
GO:0044273	316	Inter
GO:0030208	316	Inter
GO:0061448	316	Inter
GO:0070206	316	Inter
GO:0030205	316	Inter
GO:0030207	316	Inter
GO:0006027	316	Inter
GO:0050651	316	Inter
GO:0006026	316	Inter
GO:0050655	316	Inter
GO:0018149	316	Inter
GO:0051216	316	Inter
GO:0071229	316	Inter
GO:0001503	316	Inter
GO:0032963	316	Inter
GO:0030206	316	Inter
GO:0051291	316	Inter
GO:0050650	316	Inter
GO:0006024	316	Inter
GO:0006023	316	Inter
GO:1903510	316	Inter
GO:0035987	316	Inter
GO:0030204	316	Inter
GO:0060351	316	Inter
GO:0001706	316	Inter
GO:0042060	316	Inter
GO:0050654	316	Inter
GO:0001101	316	Inter
GO:0030203	316	Inter
GO:0006022	316	Inter
GO:0030166	316	Inter
GO:0031589	316	Inter
GO:0044272	316	Inter
GO:0007492	316	Inter
GO:0009612	316	Inter
GO:0060350	316	Inter
GO:1901136	316	Inter
GO:0048705	316	Inter
GO:0006029	316	Inter
GO:0007160	316	Inter
GO:0071560	316	Inter
GO:0003414	316	Inter
GO:0003429	316	Inter
GO:0090171	316	Inter
GO:0071559	316	Inter
GO:0003422	316	Inter
GO:0060349	316	Inter
GO:0001704	316	Inter
GO:0003418	316	Inter
