com_id	pg_gene	chr	order	size
195	ENSG00000111203	12	2	1
198	ENSG00000111664	12	2	1
149	ENSG00000111671	12	2	1
161	ENSG00000111684	12	2	1
199	ENSG00000111785	12	2	1
201	ENSG00000111907	6	2	1
202	ENSG00000112146	6	2	1
61	ENSG00000112200	6	2	1
203	ENSG00000112210	6	2	1
12	ENSG00000112234	6	2	1
204	ENSG00000112304	6	2	1
206	ENSG00000112769	6	2	1
207	ENSG00000112796	6	2	1
208	ENSG00000112983	5	2	1
43	ENSG00000113721	17	2	1
212	ENSG00000114656	3	2	1
213	ENSG00000114757	3	2	1
215	ENSG00000115392	2	2	1
216	ENSG00000115598	2	2	1
217	ENSG00000115828	2	2	1
99	ENSG00000115904	2	2	1
220	ENSG00000115993	2	2	1
223	ENSG00000116990	1	2	1
224	ENSG00000117222	1	2	1
226	ENSG00000117408	1	2	1
227	ENSG00000117859	1	2	1
228	ENSG00000118496	6	2	1
229	ENSG00000118503	14	2	1
231	ENSG00000118564	4	2	1
32	ENSG00000119723	14	2	1
193	ENSG00000121101	17	2	1
234	ENSG00000121310	1	2	1
235	ENSG00000121316	12	2	1
237	ENSG00000121766	1	2	1
239	ENSG00000121895	4	2	1
240	ENSG00000121905	1	2	1
241	ENSG00000122126	X	2	1
242	ENSG00000122861	10	2	1
243	ENSG00000123096	12	2	1
247	ENSG00000124006	2	2	1
249	ENSG00000124383	2	2	1
250	ENSG00000124570	6	2	1
252	ENSG00000125409	17	2	1
256	ENSG00000126107	1	2	1
259	ENSG00000127083	9	2	1
260	ENSG00000127445	19	2	1
262	ENSG00000128271	22	2	1
263	ENSG00000128298	22	2	1
18	ENSG00000128309	22	2	1
264	ENSG00000128346	22	2	1
122	ENSG00000128394	22	2	1
265	ENSG00000128617	7	2	1
266	ENSG00000128710	2	2	1
267	ENSG00000129295	8	2	1
268	ENSG00000129933	19	2	1
269	ENSG00000130311	19	2	1
270	ENSG00000130340	6	2	1
271	ENSG00000130511	19	2	1
274	ENSG00000130723	9	2	1
275	ENSG00000130822	X	2	1
276	ENSG00000130921	12	2	1
278	ENSG00000131558	7	2	1
279	ENSG00000131791	1	2	1
261	ENSG00000132467	4	2	1
248	ENSG00000132824	20	2	1
280	ENSG00000132879	1	2	1
283	ENSG00000134371	1	2	1
284	ENSG00000134851	4	2	1
285	ENSG00000134853	14	2	1
286	ENSG00000134901	13	2	1
287	ENSG00000134996	9	2	1
289	ENSG00000135740	16	2	1
290	ENSG00000135899	2	2	1
291	ENSG00000135999	2	2	1
294	ENSG00000136261	7	2	1
191	ENSG00000136813	9	2	1
297	ENSG00000136874	9	2	1
29	ENSG00000136875	9	2	1
298	ENSG00000136891	9	2	1
200	ENSG00000137210	6	2	1
301	ENSG00000137414	6	2	1
302	ENSG00000137563	8	2	1
303	ENSG00000137821	15	2	1
304	ENSG00000138029	2	2	1
305	ENSG00000138381	2	2	1
306	ENSG00000138449	2	2	1
307	ENSG00000138768	4	2	1
308	ENSG00000138785	4	2	1
309	ENSG00000139131	12	2	1
310	ENSG00000139163	12	2	1
311	ENSG00000139168	12	2	1
313	ENSG00000139193	12	2	1
314	ENSG00000139194	12	2	1
317	ENSG00000139351	12	2	1
318	ENSG00000139428	12	2	1
320	ENSG00000139651	12	2	1
321	ENSG00000140280	15	2	1
292	ENSG00000140749	11	2	1
324	ENSG00000141337	17	2	1
325	ENSG00000141424	18	2	1
326	ENSG00000141642	18	2	1
327	ENSG00000141756	17	2	1
328	ENSG00000142512	19	2	1
329	ENSG00000142687	1	2	1
330	ENSG00000143061	1	2	1
331	ENSG00000143164	1	2	1
334	ENSG00000143801	1	2	1
335	ENSG00000144040	2	2	1
336	ENSG00000144224	2	2	1
293	ENSG00000144591	2	2	1
337	ENSG00000144674	3	2	1
79	ENSG00000145029	3	2	1
338	ENSG00000145040	3	2	1
27	ENSG00000145216	4	2	1
339	ENSG00000145428	4	2	1
340	ENSG00000145431	4	2	1
341	ENSG00000145916	5	2	1
342	ENSG00000146433	6	2	1
344	ENSG00000146950	X	2	1
172	ENSG00000147133	X	2	1
345	ENSG00000147231	X	2	1
347	ENSG00000149091	11	2	1
352	ENSG00000149633	20	2	1
353	ENSG00000150593	10	2	1
354	ENSG00000151151	10	2	1
355	ENSG00000151376	11	2	1
357	ENSG00000151748	14	2	1
295	ENSG00000152082	2	2	1
358	ENSG00000152382	1	2	1
219	ENSG00000153107	2	2	1
360	ENSG00000153234	2	2	1
361	ENSG00000153237	2	2	1
362	ENSG00000153291	6	2	1
363	ENSG00000154040	18	2	1
364	ENSG00000154065	18	2	1
365	ENSG00000154262	17	2	1
366	ENSG00000154447	4	2	1
367	ENSG00000154640	21	2	1
368	ENSG00000155269	4	2	1
315	ENSG00000155957	12	2	1
50	ENSG00000156831	8	2	1
372	ENSG00000157227	14	2	1
51	ENSG00000157303	9	2	1
373	ENSG00000157870	1	2	1
375	ENSG00000158019	2	2	1
377	ENSG00000158234	3	2	1
380	ENSG00000159239	2	2	1
82	ENSG00000159403	12	2	1
381	ENSG00000160055	1	2	1
383	ENSG00000160284	21	2	1
384	ENSG00000160318	19	2	1
42	ENSG00000161010	5	2	1
386	ENSG00000161791	10	2	1
178	ENSG00000162004	16	2	1
388	ENSG00000162086	16	2	1
389	ENSG00000162654	1	2	1
390	ENSG00000162757	1	2	1
391	ENSG00000162814	1	2	1
392	ENSG00000162817	1	2	1
393	ENSG00000162882	2	2	1
394	ENSG00000162889	1	2	1
395	ENSG00000162894	1	2	1
396	ENSG00000162931	1	2	1
68	ENSG00000163040	2	2	1
397	ENSG00000163220	1	2	1
399	ENSG00000163430	3	2	1
400	ENSG00000163491	3	2	1
402	ENSG00000163539	3	2	1
403	ENSG00000163625	4	2	1
404	ENSG00000163683	4	2	1
405	ENSG00000163728	3	2	1
406	ENSG00000163734	4	2	1
409	ENSG00000163931	3	2	1
410	ENSG00000164023	4	2	1
411	ENSG00000164116	4	2	1
412	ENSG00000164118	4	2	1
413	ENSG00000164125	4	2	1
415	ENSG00000164162	4	2	1
416	ENSG00000164172	5	2	1
417	ENSG00000164344	4	2	1
111	ENSG00000164414	6	2	1
104	ENSG00000164754	8	2	1
419	ENSG00000164823	8	2	1
420	ENSG00000165695	9	2	1
196	ENSG00000165714	12	2	1
422	ENSG00000165929	14	2	1
423	ENSG00000166148	11	2	1
424	ENSG00000166228	10	2	1
427	ENSG00000166928	11	2	1
428	ENSG00000167107	17	2	1
429	ENSG00000167207	16	2	1
431	ENSG00000167759	19	2	1
84	ENSG00000167900	17	2	1
433	ENSG00000168003	11	2	1
119	ENSG00000168066	11	2	1
434	ENSG00000168079	6	2	1
135	ENSG00000168255	7	2	1
436	ENSG00000168398	14	2	1
437	ENSG00000168404	16	2	1
438	ENSG00000168447	16	2	1
65	ENSG00000168488	16	2	1
440	ENSG00000168564	4	2	1
441	ENSG00000168758	2	2	1
442	ENSG00000168792	17	2	1
443	ENSG00000168904	15	2	1
444	ENSG00000168938	5	2	1
71	ENSG00000168958	2	2	1
446	ENSG00000169019	4	2	1
447	ENSG00000169035	19	2	1
173	ENSG00000169057	X	2	1
449	ENSG00000169255	3	2	1
450	ENSG00000169291	1	2	1
451	ENSG00000169299	4	2	1
452	ENSG00000169439	8	2	1
454	ENSG00000169764	2	2	1
455	ENSG00000169891	X	2	1
456	ENSG00000169895	X	2	1
457	ENSG00000170166	2	2	1
458	ENSG00000170270	14	2	1
459	ENSG00000170417	2	2	1
460	ENSG00000170421	12	2	1
461	ENSG00000170473	12	2	1
462	ENSG00000170500	2	2	1
463	ENSG00000170571	5	2	1
464	ENSG00000170837	3	2	1
466	ENSG00000170917	4	2	1
282	ENSG00000171135	3	2	1
101	ENSG00000171824	1	2	1
469	ENSG00000171988	10	2	1
471	ENSG00000172123	17	2	1
472	ENSG00000172428	2	2	1
476	ENSG00000173391	12	2	1
477	ENSG00000173757	17	2	1
478	ENSG00000173898	11	2	1
479	ENSG00000174130	4	2	1
382	ENSG00000174173	3	2	1
480	ENSG00000174327	17	2	1
482	ENSG00000174501	2	2	1
483	ENSG00000174749	4	2	1
485	ENSG00000174885	11	2	1
486	ENSG00000174928	3	2	1
487	ENSG00000174939	16	2	1
489	ENSG00000175782	12	2	1
490	ENSG00000176273	10	2	1
78	ENSG00000176396	19	2	1
491	ENSG00000176402	7	2	1
492	ENSG00000176533	19	2	1
493	ENSG00000176563	17	2	1
495	ENSG00000176692	16	2	1
497	ENSG00000177202	19	2	1
500	ENSG00000177879	5	2	1
253	ENSG00000177885	17	2	1
501	ENSG00000177989	22	2	1
502	ENSG00000178187	5	2	1
504	ENSG00000178605	X	2	1
507	ENSG00000179057	11	2	1
508	ENSG00000179085	1	2	1
407	ENSG00000179387	4	2	1
510	ENSG00000179388	12	2	1
511	ENSG00000179431	11	2	1
513	ENSG00000179715	12	2	1
514	ENSG00000179772	1	2	1
467	ENSG00000179922	19	2	1
322	ENSG00000180113	1	2	1
516	ENSG00000180263	12	2	1
518	ENSG00000180530	21	2	1
519	ENSG00000180616	17	2	1
520	ENSG00000180638	17	2	1
522	ENSG00000180818	12	2	1
523	ENSG00000180881	12	2	1
272	ENSG00000181026	15	2	1
524	ENSG00000181274	10	2	1
319	ENSG00000181852	12	2	1
527	ENSG00000182010	10	2	1
528	ENSG00000182134	1	2	1
97	ENSG00000182141	19	2	1
530	ENSG00000182621	20	2	1
531	ENSG00000182704	11	2	1
533	ENSG00000183032	14	2	1
535	ENSG00000183423	4	2	1
536	ENSG00000183742	7	2	1
474	ENSG00000183784	9	2	1
537	ENSG00000183793	16	2	1
538	ENSG00000184007	1	2	1
539	ENSG00000184277	15	2	1
540	ENSG00000184313	1	2	1
499	ENSG00000184831	X	2	1
542	ENSG00000184898	2	2	1
543	ENSG00000185129	5	2	1
506	ENSG00000185164	16	2	1
544	ENSG00000185189	12	2	1
168	ENSG00000185246	14	2	1
545	ENSG00000185261	5	2	1
548	ENSG00000185697	8	2	1
118	ENSG00000185829	17	2	1
550	ENSG00000185885	11	2	1
552	ENSG00000186193	9	2	1
553	ENSG00000186523	8	2	1
554	ENSG00000186567	19	2	1
555	ENSG00000186710	12	2	1
556	ENSG00000187037	7	2	1
557	ENSG00000187123	2	2	1
558	ENSG00000187260	7	2	1
559	ENSG00000187498	13	2	1
560	ENSG00000187630	14	2	1
561	ENSG00000187642	1	2	1
562	ENSG00000187650	19	2	1
563	ENSG00000188095	15	2	1
564	ENSG00000188130	22	2	1
565	ENSG00000188368	19	2	1
133	ENSG00000188549	15	2	1
566	ENSG00000188747	9	2	1
567	ENSG00000188766	19	2	1
568	ENSG00000188938	9	2	1
569	ENSG00000188993	4	2	1
570	ENSG00000188996	6	2	1
571	ENSG00000189180	10	2	1
484	ENSG00000189195	1	2	1
572	ENSG00000189334	1	2	1
573	ENSG00000189362	2	2	1
574	ENSG00000196123	16	2	1
576	ENSG00000196154	1	2	1
578	ENSG00000196275	7	2	1
579	ENSG00000196345	3	2	1
581	ENSG00000196371	11	2	1
582	ENSG00000196391	15	2	1
583	ENSG00000196547	15	2	1
112	ENSG00000196642	9	2	1
529	ENSG00000196705	19	2	1
584	ENSG00000196776	3	2	1
585	ENSG00000196890	1	2	1
586	ENSG00000197016	19	2	1
587	ENSG00000197019	19	2	1
589	ENSG00000197122	20	2	1
590	ENSG00000197372	19	2	1
591	ENSG00000197375	5	2	1
592	ENSG00000197557	2	2	1
593	ENSG00000197558	7	2	1
595	ENSG00000197969	9	2	1
597	ENSG00000198019	1	2	1
598	ENSG00000198046	19	2	1
599	ENSG00000198142	2	2	1
600	ENSG00000198157	X	2	1
601	ENSG00000198440	19	2	1
602	ENSG00000198498	4	2	1
603	ENSG00000198515	4	2	1
604	ENSG00000198542	13	2	1
605	ENSG00000198721	6	2	1
606	ENSG00000198722	9	2	1
498	ENSG00000198855	12	2	1
607	ENSG00000198908	X	2	1
608	ENSG00000198911	19	2	1
609	ENSG00000198919	3	2	1
610	ENSG00000203722	6	2	1
611	ENSG00000203772	10	2	1
612	ENSG00000203965	1	2	1
613	ENSG00000204271	X	2	1
614	ENSG00000204335	2	2	1
615	ENSG00000204389	6	2	1
616	ENSG00000204397	11	2	1
103	ENSG00000204472	6	2	1
617	ENSG00000204611	19	2	1
618	ENSG00000204682	10	2	1
619	ENSG00000204740	10	2	1
620	ENSG00000204822	2	2	1
623	ENSG00000205213	11	2	1
624	ENSG00000205413	7	2	1
625	ENSG00000205517	19	2	1
626	ENSG00000205629	16	2	1
627	ENSG00000205730	16	2	1
628	ENSG00000205832	16	2	1
629	ENSG00000205978	14	2	1
630	ENSG00000206077	5	2	1
631	ENSG00000206418	14	2	1
632	ENSG00000206549	3	2	1
633	ENSG00000206560	3	2	1
634	ENSG00000211584	12	2	1
635	ENSG00000212123	19	2	1
636	ENSG00000213047	1	2	1
637	ENSG00000213085	1	2	1
638	ENSG00000213185	10	2	1
639	ENSG00000213398	16	2	1
640	ENSG00000213462	7	2	1
641	ENSG00000213906	14	2	1
642	ENSG00000213965	19	2	1
643	ENSG00000214113	6	2	1
343	ENSG00000214193	1	2	1
644	ENSG00000214226	17	2	1
645	ENSG00000214279	10	2	1
646	ENSG00000215009	12	2	1
647	ENSG00000215712	6	2	1
649	ENSG00000217128	5	2	1
650	ENSG00000220201	19	2	1
651	ENSG00000224531	6	2	1
652	ENSG00000227268	10	2	1
654	ENSG00000228696	17	2	1
655	ENSG00000229676	19	2	1
656	ENSG00000233198	9	2	1
657	ENSG00000234284	5	2	1
658	ENSG00000236383	17	2	1
659	ENSG00000237440	19	2	1
660	ENSG00000238243	1	2	1
661	ENSG00000239282	22	2	1
662	ENSG00000239521	7	2	1
663	ENSG00000240038	1	2	1
664	ENSG00000240694	8	2	1
665	ENSG00000242265	7	2	1
666	ENSG00000243364	1	2	1
667	ENSG00000243927	21	2	1
668	ENSG00000243943	2	2	1
670	ENSG00000244165	19	2	1
671	ENSG00000244482	19	2	1
673	ENSG00000248098	19	2	1
674	ENSG00000249242	4	2	1
675	ENSG00000250091	12	2	1
356	ENSG00000250565	2	2	1
676	ENSG00000250722	5	2	1
677	ENSG00000253313	1	2	1
678	ENSG00000254726	1	2	1
679	ENSG00000255152	6	2	1
680	ENSG00000256229	19	2	1
682	ENSG00000257315	1	2	1
683	ENSG00000257594	12	2	1
684	ENSG00000258484	15	2	1
685	ENSG00000259030	1	2	1
686	ENSG00000259040	6	2	1
551	ENSG00000265241	1	2	1
688	ENSG00000265590	21	2	1
689	ENSG00000266074	17	2	1
690	ENSG00000268043	1	2	1
245	ENSG00000269858	19	2	1
691	ENSG00000270011	19	2	1
692	ENSG00000271425	1	2	1
693	ENSG00000272391	7	2	1
694	ENSG00000273154	20	2	1
695	ENSG00000273173	15	2	1
696	ENSG00000273259	14	2	1
697	ENSG00000273291	3	2	1
699	ENSG00000275895	21	2	1
700	ENSG00000276418	8	2	1
701	ENSG00000277758	10	2	1
702	ENSG00000281106	13	2	1
