ensemblID	community
ENSG00000101745	26
ENSG00000101751	26
ENSG00000101752	26
ENSG00000101782	26
ENSG00000101811	171
ENSG00000101882	155
ENSG00000101997	15
ENSG00000102030	21
ENSG00000102078	1
ENSG00000102081	40
ENSG00000102096	57
ENSG00000102100	150
ENSG00000102181	174
ENSG00000102312	175
ENSG00000102316	176
ENSG00000102401	95
ENSG00000102471	63
ENSG00000102531	63
ENSG00000102543	63
ENSG00000102572	63
ENSG00000102580	63
ENSG00000102595	63
ENSG00000102606	63
ENSG00000102710	63
ENSG00000102738	63
ENSG00000102743	63
ENSG00000102753	63
ENSG00000102755	16
ENSG00000102763	63
ENSG00000102780	63
ENSG00000102786	63
ENSG00000102796	63
ENSG00000102805	63
ENSG00000102870	145
ENSG00000102882	177
ENSG00000102893	105
ENSG00000102898	141
ENSG00000102900	141
ENSG00000102901	141
ENSG00000102910	105
ENSG00000102921	105
ENSG00000102977	141
ENSG00000102978	141
ENSG00000102981	141
ENSG00000103005	141
ENSG00000103018	141
ENSG00000103024	117
ENSG00000103035	141
ENSG00000103037	141
ENSG00000103051	141
ENSG00000103091	141
ENSG00000103111	141
ENSG00000103126	145
ENSG00000103168	141
ENSG00000103194	141
ENSG00000103199	145
ENSG00000103245	145
ENSG00000103254	117
ENSG00000103266	145
ENSG00000103275	145
ENSG00000103326	117
ENSG00000103343	145
ENSG00000103356	145
ENSG00000103415	145
ENSG00000103423	145
ENSG00000103429	145
ENSG00000103494	105
ENSG00000103496	145
ENSG00000103502	145
ENSG00000103507	145
ENSG00000103510	145
ENSG00000103549	145
ENSG00000103550	145
ENSG00000103591	526
ENSG00000103599	526
ENSG00000103671	526
ENSG00000103769	526
ENSG00000103876	179
ENSG00000103932	526
ENSG00000103978	526
ENSG00000103994	526
ENSG00000104047	55
ENSG00000104067	526
ENSG00000104131	526
ENSG00000104133	526
ENSG00000104142	526
ENSG00000104147	158
ENSG00000104164	526
ENSG00000104218	448
ENSG00000104221	64
ENSG00000104228	346
ENSG00000104290	346
ENSG00000104299	346
ENSG00000104343	448
ENSG00000104365	64
ENSG00000104388	448
ENSG00000104442	448
ENSG00000104472	494
ENSG00000104524	494
ENSG00000104529	494
ENSG00000104611	346
ENSG00000104613	346
ENSG00000104626	346
ENSG00000104635	346
ENSG00000104643	346
ENSG00000104660	346
ENSG00000104671	346
ENSG00000104679	346
ENSG00000104689	346
ENSG00000104691	346
ENSG00000104695	346
ENSG00000104714	346
ENSG00000104731	141
ENSG00000104756	346
ENSG00000104763	346
ENSG00000104765	346
ENSG00000104825	184
ENSG00000104853	184
ENSG00000104856	180
ENSG00000104885	117
ENSG00000104886	117
ENSG00000104897	117
ENSG00000104901	2
ENSG00000104946	117
ENSG00000104953	181
ENSG00000104960	117
ENSG00000104964	117
ENSG00000104969	117
ENSG00000104973	117
ENSG00000105053	117
ENSG00000105063	117
ENSG00000105136	359
ENSG00000105176	182
ENSG00000105197	184
ENSG00000105202	146
ENSG00000105229	117
ENSG00000105248	546
ENSG00000105258	184
ENSG00000105298	117
ENSG00000105325	117
ENSG00000105341	60
ENSG00000105372	146
ENSG00000105373	146
ENSG00000105374	183
ENSG00000105401	432
ENSG00000105402	184
ENSG00000105438	184
ENSG00000105447	117
ENSG00000105483	184
ENSG00000105492	167
ENSG00000105516	14
ENSG00000105520	85
ENSG00000105556	117
ENSG00000105583	432
ENSG00000105618	117
ENSG00000105640	146
ENSG00000105662	185
ENSG00000105669	3
ENSG00000105671	3
ENSG00000105677	184
ENSG00000105700	146
ENSG00000105723	184
ENSG00000105778	140
ENSG00000105793	142
ENSG00000105819	142
ENSG00000105821	142
ENSG00000105829	142
ENSG00000105856	142
ENSG00000105865	142
ENSG00000105879	142
ENSG00000105953	140
ENSG00000105968	140
ENSG00000105974	186
ENSG00000105983	142
ENSG00000105993	142
ENSG00000105996	4
ENSG00000105997	4
ENSG00000106004	4
ENSG00000106006	4
ENSG00000106009	140
ENSG00000106012	141
ENSG00000106025	187
ENSG00000106028	142
ENSG00000106052	188
ENSG00000106086	23
ENSG00000106105	140
ENSG00000106144	142
ENSG00000106244	142
ENSG00000106245	142
ENSG00000106246	142
ENSG00000106263	140
ENSG00000106268	140
