comm1	comm2	jaccard
18	64	0
18	75	0
18	34	0
18	18	0
18	32	0
18	31	0
18	20	0
18	121	0
18	101	0
18	46	0
18	133	0
18	134	0
18	176	0
18	36	0
18	53	0
18	253	0
18	282	0
18	475	0
18	76	0
18	222	0
18	322	0
18	65	0
18	221	0
18	123	0
18	217	0
18	366	0
18	262	0
18	394	0
18	118	0
18	239	0
18	83	0
15	4	0
15	312	0
15	41	0
15	11	0
15	268	0
15	2	0
15	13	0.2222222222222222
15	78	0
15	9	0
15	7	0
15	344	0
15	5	0
15	274	0
15	45	0
15	40	0
15	6	0
15	8	0
15	64	0
15	75	0
15	34	0
15	18	0
15	32	0
15	31	0
15	20	0
15	121	0.125
15	101	0
15	46	0
15	133	0
15	134	0
15	176	0
15	36	0
15	53	0
15	253	0
15	282	0
15	475	0
15	76	0
15	222	0
15	322	0
15	65	0
15	221	0
15	123	0
15	217	0
15	366	0
15	262	0
15	394	0
15	118	0
15	239	0
15	83	0
12	4	0
12	312	0
12	41	0
12	11	0
12	268	0
12	2	0
12	13	0
12	78	0
12	9	0.88
12	7	0
12	344	0
12	5	0
12	274	0
12	45	0
12	40	0
12	6	0
12	8	0
12	64	0
12	75	0
12	34	0
12	18	0
12	32	0
12	31	0
12	20	0
12	121	0
12	101	0
12	46	0
12	133	0
12	134	0
12	176	0
12	36	0
12	53	0
12	253	0
12	282	0
12	475	0
12	76	0
12	222	0
12	322	0
12	65	0
12	221	0
12	123	0
12	217	0
12	366	0
12	262	0
12	394	0
12	118	0
12	239	0.03773584905660377
12	83	0
8	4	0
8	312	0
8	41	0
8	11	0.06666666666666667
8	268	0
8	2	0.029411764705882353
8	13	0
8	78	0
8	9	0
8	7	0
8	344	0
8	5	0.08333333333333333
8	274	0
8	45	0
8	40	0
8	6	0
8	8	0
8	64	0
8	75	0
8	34	0
8	18	0.07692307692307693
8	32	0
8	31	0.043478260869565216
8	20	0
8	121	0
8	101	0
8	46	0
8	133	0
8	134	0
8	176	0
8	36	0
8	53	0
8	253	0
8	282	0
8	475	0
8	76	0.35294117647058826
8	222	0
8	322	0
8	65	0.2222222222222222
8	221	0
8	123	0
8	217	0
8	366	0
8	262	0
8	394	0
8	118	0
8	239	0
8	83	0
6	4	0
6	312	0
6	41	0
6	11	0
6	268	0
6	2	0
6	13	0
6	78	0
6	9	0
6	7	0
6	344	0
6	5	0
6	274	0
6	45	0
6	40	0
6	6	0
6	8	0
6	64	0
6	75	0
6	34	0
6	18	0
6	32	0
6	31	0
6	20	0
6	121	0
6	101	0
6	46	0
6	133	0
6	134	0
6	176	0
6	36	0
6	53	0
6	253	0
6	282	0
6	475	0
6	76	0.07142857142857142
6	222	0
6	322	0
6	65	0.07692307692307693
6	221	0
6	123	0
6	217	0
6	366	0
6	262	0
6	394	0
6	118	0
6	239	0
6	83	0
266	4	0
266	312	0
266	41	0
266	11	0
266	268	0
266	2	0
266	13	0
266	78	0
266	9	0
266	7	0
266	344	0
266	5	0
266	274	0
266	45	0
266	40	0
266	6	0
266	8	0
266	64	0
266	75	0
266	34	0
266	18	0
266	32	0
266	31	0
266	20	0
266	121	0
266	101	0
266	46	1
266	133	0
266	134	0
266	176	0
266	36	0
266	53	0
266	253	0
266	282	0
266	475	0
266	76	0
266	222	0
266	322	0
266	65	0
266	221	0
266	123	0
266	217	0
266	366	0
266	262	0
266	394	0
266	118	0
266	239	0
266	83	0
13	4	0.034482758620689655
13	312	0
13	41	0
13	11	0
13	268	0
13	2	0
13	13	0
13	78	0
13	9	0
13	7	0.6538461538461539
13	344	0
13	5	0
13	274	0
13	45	0
13	40	0
13	6	0
13	8	0.06349206349206349
13	64	0
13	75	0
13	34	0
13	18	0
13	32	0
13	31	0
13	20	0
13	121	0
13	101	0
13	46	0
13	133	0.041666666666666664
13	134	0
13	176	0
13	36	0
13	53	0
13	253	0
13	282	0
13	475	0
13	76	0
13	222	0
13	322	0
13	65	0
13	221	0
13	123	0
13	217	0
13	366	0
13	262	0
13	394	0
13	118	0
13	239	0
13	83	0
397	4	0
397	312	0
397	41	0
397	11	0
397	268	0
397	2	0
397	13	0
397	78	0
397	9	0
397	7	0
397	344	0
397	5	0
397	274	0
397	45	0
397	40	0
397	6	0
397	8	0
397	64	0
397	75	0
397	34	0
397	18	0
397	32	0
397	31	0
397	20	0
397	121	0
397	101	0
397	46	0
397	133	0
397	134	0
397	176	0
397	36	0
397	53	1
397	253	0
397	282	0
397	475	0
397	76	0
397	222	0
397	322	0
397	65	0
397	221	0
397	123	0
397	217	0
397	366	0
397	262	0
397	394	0.034482758620689655
397	118	0
397	239	0
397	83	0
65	4	0
65	312	0
65	41	0
65	11	0
65	268	0
65	2	0
65	13	0
65	78	0
65	9	0
65	7	0
65	344	0
65	5	0
65	274	0
65	45	0
65	40	0
65	6	0
65	8	0
65	64	0
65	75	0
65	34	0
65	18	0
65	32	0
65	31	0
65	20	0
65	121	0
65	101	0
65	46	0
65	133	0
65	134	0
65	176	0
65	36	0
65	53	0
65	253	0
65	282	1
65	475	0
65	76	0
65	222	0
65	322	0
65	65	0
65	221	0
65	123	0
65	217	0
65	366	0
65	262	0
65	394	0
65	118	0
65	239	0.16666666666666666
65	83	0
326	4	0
326	312	0
326	41	0
326	11	0
326	268	0
326	2	0
326	13	0
326	78	0
326	9	0.03508771929824561
326	7	0
326	344	0
326	5	0
326	274	0
326	45	0
326	40	0
326	6	0
326	8	0
326	64	0
326	75	0
326	34	0
326	18	0
326	32	0
326	31	0
326	20	0
326	121	0
326	101	0
326	46	0
326	133	0
326	134	0
326	176	0
326	36	0
326	53	0
326	253	0
326	282	0.16666666666666666
326	475	0
326	76	0
326	222	0
326	322	0
326	65	0
326	221	0
326	123	0
326	217	0
326	366	0
326	262	0
326	394	0
326	118	0
326	239	1
326	83	0
104	4	0
104	312	0
104	41	0.18518518518518517
104	11	0
104	268	0
104	2	0
104	13	0
104	78	0
104	9	0
104	7	0
104	344	0
104	5	0
104	274	0
104	45	0
104	40	0
104	6	0
104	8	0
104	64	0
104	75	0
104	34	0
104	18	0
104	32	0
104	31	0
104	20	0
104	121	0
104	101	0
104	46	0
104	133	0
104	134	0
104	176	0
104	36	0
104	53	0
104	253	0
104	282	0
104	475	0
104	76	0
104	222	0
104	322	0
104	65	0
104	221	0
104	123	0
104	217	0
104	366	0
104	262	0.05555555555555555
104	394	0
104	118	0
104	239	0
104	83	1
