comm1	comm2	jaccard
339	5	0
339	274	0
339	45	0
339	40	0
339	6	0
339	8	0
339	64	0
339	75	0
339	34	0
339	18	0
339	32	0
339	31	0
339	20	0
339	121	0
339	101	0
339	46	0
339	133	0
339	134	0
339	176	0
339	36	0
339	53	0
339	253	0
339	282	0
339	475	0
339	76	0
339	222	0
339	322	0
339	65	0
339	221	0
339	123	0
339	217	0
339	366	0
339	262	0
339	394	0
339	118	0
339	239	0
339	83	0
32	4	0
32	312	0
32	41	0
32	11	0
32	268	0
32	2	0
32	13	0
32	78	0
32	9	0
32	7	0
32	344	0
32	5	0
32	274	0
32	45	0
32	40	0
32	6	0
32	8	0
32	64	0
32	75	0
32	34	0
32	18	0
32	32	0
32	31	0
32	20	0
32	121	0
32	101	0
32	46	0
32	133	0
32	134	0
32	176	0
32	36	0
32	53	1
32	253	0
32	282	0
32	475	0
32	76	0
32	222	0
32	322	0
32	65	0
32	221	0
32	123	0
32	217	0
32	366	0
32	262	0
32	394	0.034482758620689655
32	118	0
32	239	0
32	83	0
39	4	0
39	312	0
39	41	0
39	11	0
39	268	0
39	2	0
39	13	0
39	78	0
39	9	0
39	7	0
39	344	0
39	5	0
39	274	0
39	45	0
39	40	0
39	6	0
39	8	0
39	64	0
39	75	0
39	34	0
39	18	0
39	32	0
39	31	0
39	20	0
39	121	0
39	101	0
39	46	0
39	133	0
39	134	0
39	176	0
39	36	0
39	53	0
39	253	0
39	282	1
39	475	0
39	76	0
39	222	0
39	322	0
39	65	0
39	221	0
39	123	0
39	217	0
39	366	0
39	262	0
39	394	0
39	118	0
39	239	0.16666666666666666
39	83	0
341	4	0
341	312	0
341	41	0
341	11	0
341	268	0
341	2	0
341	13	0
341	78	0
341	9	0
341	7	0
341	344	0
341	5	0
341	274	0
341	45	0
341	40	0
341	6	0
341	8	0
341	64	0
341	75	0
341	34	0
341	18	0
341	32	0
341	31	0
341	20	0
341	121	0
341	101	0
341	46	0
341	133	0
341	134	0.42857142857142855
341	176	0
341	36	0
341	53	0
341	253	0
341	282	0
341	475	0
341	76	0
341	222	0.8333333333333334
341	322	0
341	65	0
341	221	0
341	123	0
341	217	0
341	366	0
341	262	0
341	394	0
341	118	0
341	239	0
341	83	0
255	4	0
255	312	0
255	41	0.18518518518518517
255	11	0
255	268	0
255	2	0
255	13	0
255	78	0
255	9	0
255	7	0
255	344	0
255	5	0
255	274	0
255	45	0
255	40	0
255	6	0
255	8	0
255	64	0
255	75	0
255	34	0
255	18	0
255	32	0
255	31	0
255	20	0
255	121	0
255	101	0
255	46	0
255	133	0
255	134	0
255	176	0
255	36	0
255	53	0
255	253	0
255	282	0
255	475	0
255	76	0
255	222	0
255	322	0
255	65	0
255	221	0
255	123	0
255	217	0
255	366	0
255	262	0.05555555555555555
255	394	0
255	118	0
255	239	0
255	83	1
