ID	symbol	community_type
GO:0098742	ESAM	-
GO:0045765	ESAM	-
GO:1901342	ESAM	-
GO:0045766	ESAM	-
GO:1904018	ESAM	-
GO:0001570	ESAM	-
GO:0072109	ESAM	-
GO:0048704	HOXB3	*
GO:0048706	HOXB3	*
GO:0009952	HOXB3	*
GO:0048705	HOXB3	*
GO:0048562	HOXB3	*
GO:0003002	HOXB3	*
GO:0007389	HOXB3	*
GO:0048568	HOXB3	*
GO:0001501	HOXB3	*
GO:0048598	HOXB3	*
GO:0060216	HOXB3	*
GO:0021602	HOXB3	*
GO:0021545	HOXB3	*
GO:0002011	HOXB3	*
GO:0021675	HOXB3	*
GO:0006936	ACTA2	-
GO:0003012	ACTA2	-
GO:0006939	ACTA2	-
GO:1903624	NMNAT1	*
GO:0006309	NMNAT1	*
GO:1900117	NMNAT1	*
GO:0030262	NMNAT1	*
GO:0000737	NMNAT1	*
GO:0006921	NMNAT1	*
GO:0006308	NMNAT1	*
GO:0097194	NMNAT1	*
GO:0000377	UTP11	*
GO:0000398	UTP11	*
GO:0000375	UTP11	*
GO:0008380	UTP11	*
GO:0006397	UTP11	*
GO:0006488	TOR1A	*
GO:0006490	TOR1A	*
GO:0051085	TOR1A	*
GO:0051084	TOR1A	*
GO:0006458	TOR1A	*
GO:0006998	TOR1A	*
GO:0061077	TOR1A	*
GO:0010256	TOR1A	*
GO:0006487	TOR1A	*
GO:0006958	C1QA	-
GO:0002455	C1QA	-
GO:0030449	C1QA	-
GO:2000257	C1QA	-
GO:0006956	C1QA	-
GO:0002920	C1QA	-
GO:0072376	C1QA	-
GO:0002673	C1QA	-
GO:0070613	C1QA	-
GO:1903317	C1QA	-
GO:0016064	C1QA	-
GO:0019724	C1QA	-
GO:0002526	C1QA	-
GO:0006959	C1QA	-
GO:0002253	C1QA	-
GO:0002449	C1QA	-
GO:0016485	C1QA	-
GO:0002460	C1QA	-
GO:0051604	C1QA	-
GO:0050727	C1QA	-
GO:0002697	C1QA	-
GO:0002250	C1QA	-
GO:0050808	C1QA	-
GO:0022617	DPP4	-
GO:0030198	DPP4	-
GO:0043062	DPP4	-
GO:0022411	DPP4	-
GO:0030574	DPP4	-
GO:0034976	MANF	-
GO:0006457	MANF	-
GO:0006986	MANF	-
GO:0035966	MANF	-
GO:0045454	MANF	-
GO:0030968	MANF	-
GO:0034620	MANF	-
GO:0035967	MANF	-
GO:0032651	CX3CR1	-
GO:0032611	CX3CR1	-
GO:0032652	CX3CR1	-
GO:0032612	CX3CR1	-
GO:0035589	CX3CR1	-
GO:1903975	CX3CR1	-
GO:0035590	CX3CR1	-
GO:0007252	CX3CR1	-
GO:0009952	HOXC6	*
GO:0003002	HOXC6	*
GO:0007389	HOXC6	*
GO:0048706	HOXC6	*
GO:0001501	HOXC6	*
GO:0048705	HOXC6	*
GO:0048704	HOXC6	*
GO:0048562	HOXC6	*
GO:0006334	HIST1H2BK	-
GO:0031497	HIST1H2BK	-
GO:0034728	HIST1H2BK	-
GO:0006333	HIST1H2BK	-
GO:0006323	HIST1H2BK	-
GO:0065004	HIST1H2BK	-
GO:0071824	HIST1H2BK	-
GO:0071103	HIST1H2BK	-
GO:0006342	HIST1H2BK	-
GO:0045814	HIST1H2BK	-
GO:0002385	HIST1H2BK	-
GO:0006335	HIST1H2BK	-
GO:0034723	HIST1H2BK	-
GO:0002251	HIST1H2BK	-
GO:0060968	HIST1H2BK	-
GO:0019731	HIST1H2BK	-
GO:0000183	HIST1H2BK	-
GO:0061844	HIST1H2BK	-
GO:0051290	HIST1H2BK	-
GO:0034080	HIST1H2BK	-
GO:0061641	HIST1H2BK	-
GO:0016458	HIST1H2BK	-
GO:0031055	HIST1H2BK	-
GO:0019730	HIST1H2BK	-
GO:0016233	HIST1H2BK	-
GO:0006336	HIST1H2BK	-
GO:0034724	HIST1H2BK	-
GO:0043486	HIST1H2BK	-
GO:0050830	HIST1H2BK	-
GO:0034508	HIST1H2BK	-
GO:0045652	HIST1H2BK	-
GO:0040029	HIST1H2BK	-
GO:0030219	HIST1H2BK	-
GO:0043044	HIST1H2BK	-
GO:0045638	HIST1H2BK	-
GO:0006303	HIST1H2BK	-
GO:0000726	HIST1H2BK	-
GO:0060964	HIST1H2BK	-
GO:0060147	HIST1H2BK	-
GO:0060966	HIST1H2BK	-
GO:0051291	HIST1H2BK	-
GO:0006959	HIST1H2BK	-
GO:0035195	HIST1H2BK	-
GO:1903707	HIST1H2BK	-
GO:0042742	HIST1H2BK	-
GO:0051262	HIST1H2BK	-
GO:0035194	HIST1H2BK	-
GO:0016441	HIST1H2BK	-
GO:0031047	HIST1H2BK	-
GO:0000723	HIST1H2BK	-
GO:0032200	HIST1H2BK	-
GO:0070268	KRT5	-
GO:0031424	KRT5	-
GO:0008544	KRT5	-
GO:0030216	KRT5	-
GO:0009913	KRT5	-
GO:0043588	KRT5	-
GO:0031581	KRT5	-
GO:0030855	KRT5	-
GO:0007044	KRT5	-
GO:0045109	KRT5	-
GO:0034329	KRT5	-
GO:0045104	KRT5	-
GO:0045103	KRT5	-
GO:0034330	KRT5	-
GO:0042303	KRT5	-
GO:0042633	KRT5	-
GO:0019886	HLA-DMB	-
GO:0002495	HLA-DMB	-
GO:0002504	HLA-DMB	-
GO:0002478	HLA-DMB	-
GO:0019884	HLA-DMB	-
GO:0048002	HLA-DMB	-
GO:0019882	HLA-DMB	-
GO:0002250	HLA-DMB	-
GO:0060333	HLA-DMB	-
GO:0071346	HLA-DMB	-
GO:0034341	HLA-DMB	-
GO:0050852	HLA-DMB	-
GO:0050851	HLA-DMB	-
GO:0002429	HLA-DMB	-
GO:0002768	HLA-DMB	-
GO:0002757	HLA-DMB	-
GO:0002764	HLA-DMB	-
GO:0002253	HLA-DMB	-
GO:0050671	HLA-DMB	-
GO:0032946	HLA-DMB	-
GO:0070665	HLA-DMB	-
GO:0050863	HLA-DMB	-
GO:0051249	HLA-DMB	-
GO:0050670	HLA-DMB	-
GO:0032944	HLA-DMB	-
GO:0050870	HLA-DMB	-
GO:0070663	HLA-DMB	-
GO:0042110	HLA-DMB	-
GO:1903039	HLA-DMB	-
GO:0002694	HLA-DMB	-
GO:0046651	HLA-DMB	-
GO:0032943	HLA-DMB	-
GO:0022409	HLA-DMB	-
GO:0050865	HLA-DMB	-
GO:0070661	HLA-DMB	-
GO:0042102	HLA-DMB	-
GO:0051251	HLA-DMB	-
GO:1903037	HLA-DMB	-
GO:0002696	HLA-DMB	-
GO:0050867	HLA-DMB	-
GO:0007159	HLA-DMB	-
GO:0002577	HLA-DMB	-
GO:0022407	HLA-DMB	-
GO:0042129	HLA-DMB	-
GO:0045785	HLA-DMB	-
GO:0042098	HLA-DMB	-
GO:0007156	PCDHGA6	*
GO:0098742	PCDHGA6	*
GO:0007156	PCDHAC1	*
GO:0098742	PCDHAC1	*
